condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_repetitions
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,abort_count,5,12,10,16,10.0,14.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,actual_arity,5,1,1,1,1.0,1.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,apply_worker_ms,5,0.034246,0.033452,0.03511,0.033934,0.034548,0.0006140000000000034,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,arity_max,5,1,1,1,1.0,1.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,arity_min,5,1,1,1,1.0,1.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,batch_ms,5,0.783057,0.780654,0.792255,0.781768,0.787246,0.005477999999999983,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,commit_count,5,500,496,502,498.0,502.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,commit_wall_ms,5,0.073031,0.071263,0.073752,0.072697,0.073073,0.00037600000000000133,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,commit_worker_ms,5,0.071925,0.070176,0.072261,0.071589,0.072074,0.0004849999999999993,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,dependency_worker_ms,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,extract_ms,5,0.202965,0.199582,0.210147,0.202785,0.20778,0.0049949999999999994,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,initial_core_size,5,18,16,26,18.0,22.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,peak_rss_kib,5,8712,8516,8748,8636.0,8744.0,108.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,read_wall_ms,5,0.33502,0.327673,0.339427,0.329736,0.335848,0.006112000000000006,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,read_worker_ms,5,0.332982,0.325787,0.337599,0.327732,0.333896,0.006164000000000003,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,reservation_worker_ms,5,0.044414,0.044097,0.044956,0.044324,0.044875,0.0005509999999999959,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,round_count,5,6,5,8,5.0,7.0,2.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,runner_peak_rss_kib,5,8712,8516,8748,8636.0,8744.0,108.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.B,5,1,1,1,1.0,1.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.build_ms,5,0.026992,0.026065,0.031079,0.026731,0.030656,0.003924999999999998,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.certificate_ms,5,0.012361,0.011752,0.013302,0.012115,0.01314,0.0010249999999999999,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.degree_queries,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.graph_bytes,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.heavy_subsets,5,9,8,13,9.0,11.0,2.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.heavy_updates,5,18,16,26,18.0,22.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.incidences,5,18,16,26,18.0,22.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.index_payload_bytes,5,14312,13440,14472,14312.0,14392.0,80.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.initial_core_size,5,18,16,26,18.0,22.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.kernel_ms,5,0.148575,0.14602,0.159407,0.147999,0.153196,0.005197000000000007,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.light_scans,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.normalize_ms,5,0.202965,0.199582,0.210147,0.202785,0.20778,0.0049949999999999994,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.profile_links,5,9,8,13,9.0,11.0,2.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.profiles,5,9,8,13,9.0,11.0,2.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.select_ms,5,0.007869,0.007036,0.009893,0.007757,0.008712,0.0009549999999999993,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.subsets,5,9,8,13,9.0,11.0,2.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.switch_ms,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.switch_queries,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.switch_remaining,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.switch_round,5,0,0,0,0.0,0.0,0.0,5
