condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_pairs
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,adaptive,batch_ms,5,0.5677805756984808,0.5661318063222932,0.5797026739390715,0.5675717093391669,0.5748513425922368,0.007279633253069906,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,graph,batch_ms,5,0.5797121242865542,0.5717430121027498,0.5973550943366384,0.5795312197326791,0.5823395231782592,0.0028083034455801403,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,lazy,batch_ms,5,0.5830195697734551,0.5785216761467628,0.5876444853003763,0.5821824588521165,0.5867920546196346,0.004609595767518071,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,profile,batch_ms,5,0.5632392210684086,0.5573820581005836,0.5752749798485628,0.5587795991339967,0.5640237633098107,0.005244164175814081,5
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,adaptive,batch_ms,5,0.38248275634058343,0.35843107604158714,0.4126409208861217,0.3737082871766675,0.38581506927240655,0.012106782095739066,5
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,graph,batch_ms,5,0.3067231875101103,0.3032922548030627,0.33784989782586283,0.306611661284565,0.3079513975813326,0.0013397362967675908,5
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,lazy,batch_ms,5,0.39402684456474824,0.39252791654578145,0.435272905045877,0.39255527502579374,0.40024179296822665,0.007686517942432913,5
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,profile,batch_ms,5,0.37738630305118537,0.37155343766894916,0.4115601997220363,0.37313063276156044,0.3832355264872614,0.010104893725700947,5
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,adaptive,batch_ms,5,0.40008413739890497,0.38558548982116864,0.4097118070176923,0.38801755070597294,0.40225584014778665,0.014238289441813712,5
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,graph,batch_ms,5,0.3581911197138986,0.3461375366707276,0.37215872041992226,0.3532469653548656,0.3689101499217655,0.015663184566899913,5
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,lazy,batch_ms,5,0.4797245411216792,0.46987634535589545,0.49769295093561944,0.4779830378343853,0.4807533761839341,0.0027703383495488176,5
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,profile,batch_ms,5,0.3975274276996588,0.38391810396525705,0.4174740590074071,0.3904443157254642,0.3995900988247171,0.009145783099252902,5
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,native,adaptive,batch_ms,5,0.32876335415668134,0.32200669112644853,0.33025860601344836,0.3267407957042235,0.3294004436560168,0.002659647951793298,5
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,native,graph,batch_ms,5,0.04172793493790265,0.040577519879003626,0.04703380317778841,0.040890409883808355,0.04286187326063076,0.0019714633768224063,5
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,native,lazy,batch_ms,5,0.10776036477145312,0.10447304276210523,0.12091167324857169,0.10722508208021382,0.11366325876543568,0.006438176685221855,5
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,native,profile,batch_ms,5,0.33069488591350077,0.3240940054519585,0.33139451763117056,0.32758466816383647,0.33124930059519453,0.0036646324313580614,5
arity-l3-n512-uniform-w1-k2,arity,3,512,uniform,1,2,10000,False,native,adaptive,batch_ms,5,0.38824714708640157,0.37968673704839445,0.3905403231340924,0.3863636616890143,0.3904222167806599,0.004058555091645599,5
arity-l3-n512-uniform-w1-k2,arity,3,512,uniform,1,2,10000,False,native,graph,batch_ms,5,0.47401355354219327,0.46788729400982926,0.47859529490107466,0.4698713544440515,0.47822839978635184,0.008357045342300362,5
arity-l3-n512-uniform-w1-k2,arity,3,512,uniform,1,2,10000,False,native,lazy,batch_ms,5,0.38945440613625093,0.3791933349862755,0.3937781075006083,0.3846920899700572,0.3895872460843463,0.00489515611428909,5
arity-l3-n512-uniform-w1-k2,arity,3,512,uniform,1,2,10000,False,native,profile,batch_ms,5,0.3664481320485023,0.3626026086833993,0.37913045662604156,0.3627057513034655,0.37334018149789605,0.010634430194430555,5
arity-l3-n512-zipf-w1-k2,arity,3,512,zipf,1,2,10000,False,native,adaptive,batch_ms,5,0.19757228080235933,0.19683108609294256,0.2018548919203628,0.19693651055172973,0.20069772875294872,0.0037612182012189965,5
arity-l3-n512-zipf-w1-k2,arity,3,512,zipf,1,2,10000,False,native,graph,batch_ms,5,0.10074774730635075,0.09606193866484627,0.10906091481374694,0.09758013688374295,0.10575519708676512,0.008175060203022166,5
arity-l3-n512-zipf-w1-k2,arity,3,512,zipf,1,2,10000,False,native,lazy,batch_ms,5,0.1964735866780592,0.19391782052176965,0.20041237955250693,0.19599775351177048,0.19862889457373376,0.0026311410619632714,5
arity-l3-n512-zipf-w1-k2,arity,3,512,zipf,1,2,10000,False,native,profile,batch_ms,5,0.1260540897066769,0.12247966055774906,0.1306406059705926,0.12518507997325565,0.13023620828183766,0.005051128308582009,5
arity-l3-n8192-uniform-w1-k2,arity,3,8192,uniform,1,2,10000,False,native,adaptive,batch_ms,5,0.1740357473269724,0.16944874720147757,0.17793250788245502,0.17277400010378963,0.17496820557446102,0.0021942054706713954,5
