condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,seed,metric,status,ratio,baseline_ms,baseline_status,mode_ms,mode_status
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,lazy,11,selector_ms,ok,0.9628469781792821,0.354812,ok,0.368503,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,lazy,11,batch_ms,ok,0.9823169839561945,0.758666,ok,0.772323,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,profile,11,selector_ms,ok,0.9468066370288142,0.354812,ok,0.374746,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,profile,11,batch_ms,ok,0.9630368691965447,0.758666,ok,0.787785,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,adaptive,11,selector_ms,ok,0.9356757840107173,0.354812,ok,0.379204,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,adaptive,11,batch_ms,ok,0.9704490334728461,0.758666,ok,0.781768,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,graph,11,batch_ms,ok,0.5973550943366384,0.453193,ok,0.758666,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,lazy,11,batch_ms,ok,0.5867920546196346,0.453193,ok,0.772323,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,profile,11,batch_ms,ok,0.5752749798485628,0.453193,ok,0.787785,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,adaptive,11,batch_ms,ok,0.5797026739390715,0.453193,ok,0.781768,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,lazy,29,selector_ms,ok,1.0284950848720942,0.365666,ok,0.355535,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,lazy,29,batch_ms,ok,1.0182589844184935,0.777344,ok,0.763405,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,profile,29,selector_ms,ok,0.9451908909969757,0.365666,ok,0.38687,ok
