phase,condition,mode,seed,status,abort_count,actual_arity,apply_worker_ms,aria_reordering_optmization,aria_snapshot_isolation,arity,arity_max,arity_min,batch_id,batch_ms,commit_count,commit_wall_ms,commit_worker_ms,completed_utc,control_passed,decision_sha256,dependency_worker_ms,distribution,error,expected_status,extract_ms,initial_core_size,key_count,max_graph_bytes,max_incidence,memory_limit_kind,memory_mib,n,peak_rss_kib,policy_k,process_wall_seconds,raw_path,raw_sha256,read_wall_ms,read_worker_ms,reservation_worker_ms,returncode,round_count,rss_file,runner_peak_rss_kib,selector.B,selector.build_ms,selector.certificate_ms,selector.degree_queries,selector.graph_bytes,selector.heavy_subsets,selector.heavy_updates,selector.incidences,selector.index_payload_bytes,selector.initial_core_size,selector.kernel_ms,selector.light_scans,selector.normalize_ms,selector.profile_links,selector.profiles,selector.select_ms,selector.subsets,selector.switch_ms,selector.switch_queries,selector.switch_remaining,selector.switch_round,selector.switches,selector.total_ms,selector.tree_updates,selector.trim_key_visits,selector.trim_ms,selector_ms,selector_only,sequence,started_utc,stderr,stdout,suite,sync_wait_ms,timeout_seconds,trace_path,trace_sha256,value_bytes,verification,workers,wrapper_pid,zipf
measure,arity-l1-n512-uniform-w1-k2,adaptive,101,ok,14,1,0.034548,True,False,1,1,1,3242191918,0.787246,498,0.073031,0.072074,2026-09-05T04:30:49.890700+00:00,,8199b2692c5794cc600e4927bb907d8ccd36b759b86c169321ec0be453285fa8,0,uniform,,ok,0.202965,22,10000,536870912,8000000,RLIMIT_AS,2048,512,8744,2,0.00934970797970891,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/raw/arity-l1-n512-uniform-w1-k2-s101-measure-adaptive.json,4eb7fe9317263b89d3174208f655e7e0309ba55a911834c216ba5258f871fc4b,0.33502,0.332982,0.044324,0,7,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s101-measure-adaptive.rss.txt,8744,1,0.030656,0.012115,0,0,11,22,22,14392,22,0.153196,0,0.202965,11,11,0.008712,11,0,0,0,0,0,0.379008,104,1536,0.029001,0.379008,False,328,2026-09-05T04:30:49.881332+00:00,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s101-measure-adaptive.stderr.log,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s101-measure-adaptive.stdout.log,arity,0.002995,120.0,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/traces/arity-l1-n512-uniform-w1-k2-s101.tsv,41252518774791946be7de0ee55a7a0c5f7600da406c7be56d5417185f266bf3,32,passed,1,995,0.99
measure,arity-l1-n512-uniform-w1-k2,graph,101,ok,14,1,0.034637,True,False,1,1,1,3242191918,0.768804,498,0.073788,0.072564,2026-09-05T04:30:49.869755+00:00,,8199b2692c5794cc600e4927bb907d8ccd36b759b86c169321ec0be453285fa8,0,uniform,,ok,0.20369,22,10000,536870912,8000000,RLIMIT_AS,2048,512,8540,2,0.009238899685442448,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/raw/arity-l1-n512-uniform-w1-k2-s101-measure-graph.json,bc3ad297632537e4b22874ca388274afcc317a99488e2e09d6be8d1045aeb122,0.331344,0.329453,0.044079,0,7,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s101-measure-graph.rss.txt,8540,0,0.014164,0.008558,0,176,0,0,0,0,22,0.136803,0,0.20369,0,0,0.007033,0,0,0,0,0,0,0.363497,60,1536,0.027931,0.363497,False,326,2026-09-05T04:30:49.860498+00:00,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s101-measure-graph.stderr.log,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s101-measure-graph.stdout.log,arity,0.003115,120.0,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/traces/arity-l1-n512-uniform-w1-k2-s101.tsv,41252518774791946be7de0ee55a7a0c5f7600da406c7be56d5417185f266bf3,32,passed,1,989,0.99
measure,arity-l1-n512-uniform-w1-k2,lazy,101,ok,14,1,0.034153,True,False,1,1,1,3242191918,0.770386,498,0.073208,0.072034,2026-09-05T04:30:49.859416+00:00,,8199b2692c5794cc600e4927bb907d8ccd36b759b86c169321ec0be453285fa8,0,uniform,,ok,0.214504,22,10000,536870912,8000000,RLIMIT_AS,2048,512,8444,2,0.009289342910051346,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/raw/arity-l1-n512-uniform-w1-k2-s101-measure-lazy.json,289ce11b488753dfe27b49998d69d184da3b779c64bc982753d6c7f7c764adef,0.332216,0.330086,0.044058,0,7,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s101-measure-lazy.rss.txt,8444,0,0.011735,0.012054,34,0,0,0,22,14304,22,0.127483,0,0.214504,0,0,0.004044,11,0,0,0,0,0,0.364846,0,1536,0.026627,0.364846,False,325,2026-09-05T04:30:49.850108+00:00,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s101-measure-lazy.stderr.log,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s101-measure-lazy.stdout.log,arity,0.003304,120.0,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/traces/arity-l1-n512-uniform-w1-k2-s101.tsv,41252518774791946be7de0ee55a7a0c5f7600da406c7be56d5417185f266bf3,32,passed,1,986,0.99
measure,arity-l1-n512-uniform-w1-k2,native,101,ok,11,1,0.032249,True,False,1,1,1,3242191918,0.445685,501,0.112541,0.11133,2026-09-05T04:30:49.900836+00:00,,491e44e83747965d7f8b02c03bd8c7636930b39d4acad9c2bb4f2a541b96d97c,0.02089,uniform,,ok,0,22,10000,536870912,8000000,RLIMIT_AS,2048,512,8468,2,0.009002777747809887,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/raw/arity-l1-n512-uniform-w1-k2-s101-measure-native.json,0d5db3c0f741682d90d89cee993651e9fb061eb5329c8dde1ce8dbba1a75a424,0.333087,0.331253,0.04387,0,0,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s101-measure-native.rss.txt,8468,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,329,2026-09-05T04:30:49.891815+00:00,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s101-measure-native.stderr.log,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s101-measure-native.stdout.log,arity,0.003045,120.0,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/traces/arity-l1-n512-uniform-w1-k2-s101.tsv,41252518774791946be7de0ee55a7a0c5f7600da406c7be56d5417185f266bf3,32,passed,1,998,0.99
measure,arity-l1-n512-uniform-w1-k2,profile,101,ok,14,1,0.034075,True,False,1,1,1,3242191918,0.791289,498,0.073281,0.072123,2026-09-05T04:30:49.880217+00:00,,8199b2692c5794cc600e4927bb907d8ccd36b759b86c169321ec0be453285fa8,0,uniform,,ok,0.204554,22,10000,536870912,8000000,RLIMIT_AS,2048,512,8708,2,0.009246173780411482,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/raw/arity-l1-n512-uniform-w1-k2-s101-measure-profile.json,3e3ad7c5c3c3d6e00886beeaab1a2f04a7677ae893e5f05fcfe931b2d7bf7d49,0.333505,0.331579,0.044002,0,7,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s101-measure-profile.rss.txt,8708,1,0.03471,0.012155,0,0,11,22,22,14392,22,0.156943,0,0.204554,11,11,0.009232,11,0,0,0,0,0,0.384387,104,1536,0.028248,0.384387,False,327,2026-09-05T04:30:49.870950+00:00,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s101-measure-profile.stderr.log,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s101-measure-profile.stdout.log,arity,0.003084,120.0,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/traces/arity-l1-n512-uniform-w1-k2-s101.tsv,41252518774791946be7de0ee55a7a0c5f7600da406c7be56d5417185f266bf3,32,passed,1,992,0.99
measure,arity-l1-n512-uniform-w1-k2,adaptive,11,ok,10,1,0.033934,True,False,1,1,1,3242191918,0.781768,502,0.072697,0.071589,2026-09-05T04:30:49.621520+00:00,,3ab6d983d2cb6571160dd445f7ebb6330142283abec6246375ad1a79d07b6af7,0,uniform,,ok,0.210147,16,10000,536870912,8000000,RLIMIT_AS,2048,512,8748,2,0.009042534977197647,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/raw/arity-l1-n512-uniform-w1-k2-s11-measure-adaptive.json,87d2b7b6a45e67f9184a60187e47943830483bbff29491fac24260196266cad9,0.329736,0.327732,0.044875,0,5,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s11-measure-adaptive.rss.txt,8748,1,0.026065,0.012361,0,0,8,16,16,13440,16,0.14602,0,0.210147,8,8,0.007036,8,0,0,0,0,0,0.379204,76,1536,0.027575,0.379204,False,306,2026-09-05T04:30:49.612459+00:00,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s11-measure-adaptive.stderr.log,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s11-measure-adaptive.stdout.log,arity,0.003112,120.0,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/traces/arity-l1-n512-uniform-w1-k2-s11.tsv,d9745145da96e011d7701044ed65abd492287aa91a8fee150a451a95f354ea44,32,passed,1,929,0.99
measure,arity-l1-n512-uniform-w1-k2,graph,11,ok,10,1,0.035191,True,False,1,1,1,3242191918,0.758666,502,0.073794,0.072664,2026-09-05T04:30:49.642390+00:00,,3ab6d983d2cb6571160dd445f7ebb6330142283abec6246375ad1a79d07b6af7,0,uniform,,ok,0.203541,16,10000,536870912,8000000,RLIMIT_AS,2048,512,8444,2,0.009311049710959196,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/raw/arity-l1-n512-uniform-w1-k2-s11-measure-graph.json,895153b2ad59e5aaaaabff93fdb08fc5f03f9e49da3d444730c8cffd87624c68,0.329943,0.327737,0.044577,0,5,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s11-measure-graph.rss.txt,8444,0,0.012455,0.008303,0,128,0,0,0,0,16,0.128222,0,0.203541,0,0,0.005728,0,0,0,0,0,0,0.354812,44,1536,0.027159,0.354812,False,308,2026-09-05T04:30:49.633061+00:00,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s11-measure-graph.stderr.log,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s11-measure-graph.stdout.log,arity,0.003336,120.0,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/traces/arity-l1-n512-uniform-w1-k2-s11.tsv,d9745145da96e011d7701044ed65abd492287aa91a8fee150a451a95f354ea44,32,passed,1,935,0.99
measure,arity-l1-n512-uniform-w1-k2,lazy,11,ok,10,1,0.034804,True,False,1,1,1,3242191918,0.772323,502,0.073022,0.071856,2026-09-05T04:30:49.611347+00:00,,3ab6d983d2cb6571160dd445f7ebb6330142283abec6246375ad1a79d07b6af7,0,uniform,,ok,0.219321,16,10000,536870912,8000000,RLIMIT_AS,2048,512,8684,2,0.017428325954824686,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/raw/arity-l1-n512-uniform-w1-k2-s11-measure-lazy.json,27febbd7327c1641fdaf499ff4a7124547d7699603c299fe0929b94ddee4d363,0.330604,0.328502,0.04498,0,5,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s11-measure-lazy.rss.txt,8684,0,0.01144,0.011143,24,0,0,0,16,13376,16,0.126335,0,0.219321,0,0,0.003189,8,0,0,0,0,0,0.368503,0,1536,0.026012,0.368503,False,305,2026-09-05T04:30:49.593898+00:00,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s11-measure-lazy.stderr.log,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s11-measure-lazy.stdout.log,arity,0.003268,120.0,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/traces/arity-l1-n512-uniform-w1-k2-s11.tsv,d9745145da96e011d7701044ed65abd492287aa91a8fee150a451a95f354ea44,32,passed,1,926,0.99
measure,arity-l1-n512-uniform-w1-k2,native,11,ok,8,1,0.033179,True,False,1,1,1,3242191918,0.453193,504,0.114343,0.113132,2026-09-05T04:30:49.631966+00:00,,c044df034fcae569da39404a384d0d3a7787ae2bccee8ec23abf004b7458a531,0.02119,uniform,,ok,0,16,10000,536870912,8000000,RLIMIT_AS,2048,512,8532,2,0.009339614305645227,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/raw/arity-l1-n512-uniform-w1-k2-s11-measure-native.json,613e088794dbfe00f16ac745c12d4e184af8461a4403fce57ec844aadbcb6f11,0.33871,0.336856,0.044669,0,0,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s11-measure-native.rss.txt,8532,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,307,2026-09-05T04:30:49.622606+00:00,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s11-measure-native.stderr.log,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s11-measure-native.stdout.log,arity,0.003065,120.0,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/traces/arity-l1-n512-uniform-w1-k2-s11.tsv,d9745145da96e011d7701044ed65abd492287aa91a8fee150a451a95f354ea44,32,passed,1,932,0.99
measure,arity-l1-n512-uniform-w1-k2,profile,11,ok,10,1,0.034049,True,False,1,1,1,3242191918,0.787785,502,0.072726,0.071492,2026-09-05T04:30:49.652789+00:00,,3ab6d983d2cb6571160dd445f7ebb6330142283abec6246375ad1a79d07b6af7,0,uniform,,ok,0.203365,16,10000,536870912,8000000,RLIMIT_AS,2048,512,8684,2,0.009296609088778496,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/raw/arity-l1-n512-uniform-w1-k2-s11-measure-profile.json,12bd69dde7ec86c3699e63c91530fc24470e258d5c91acd153de012888915afa,0.340127,0.338155,0.044682,0,5,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s11-measure-profile.rss.txt,8684,1,0.025248,0.01362,0,0,8,16,16,13440,16,0.148557,0,0.203365,8,8,0.007461,8,0,0,0,0,0,0.374746,76,1536,0.028402,0.374746,False,309,2026-09-05T04:30:49.643473+00:00,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s11-measure-profile.stderr.log,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/logs/arity-l1-n512-uniform-w1-k2-s11-measure-profile.stdout.log,arity,0.003206,120.0,/home/wasanemon/project/exact_abort_selection/experiments/eas/results/full/traces/arity-l1-n512-uniform-w1-k2-s11.tsv,d9745145da96e011d7701044ed65abd492287aa91a8fee150a451a95f354ea44,32,passed,1,938,0.99
