condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,mode,status,count,expected_repetitions
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,ok,5,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,ok,5,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,ok,5,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,ok,5,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,profile,ok,5,5
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,adaptive,ok,5,5
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,ok,5,5
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,lazy,ok,5,5
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,ok,5,5
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,profile,ok,5,5
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,adaptive,ok,5,5
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,ok,5,5
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,lazy,ok,5,5
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,ok,5,5
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,profile,ok,5,5
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,adaptive,ok,5,5
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,graph,ok,5,5
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,lazy,ok,5,5
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,native,ok,5,5
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,profile,ok,5,5
arity-l3-n512-uniform-w1-k2,arity,3,512,uniform,1,2,10000,False,adaptive,ok,5,5
arity-l3-n512-uniform-w1-k2,arity,3,512,uniform,1,2,10000,False,graph,ok,5,5
arity-l3-n512-uniform-w1-k2,arity,3,512,uniform,1,2,10000,False,lazy,ok,5,5
arity-l3-n512-uniform-w1-k2,arity,3,512,uniform,1,2,10000,False,native,ok,5,5
arity-l3-n512-uniform-w1-k2,arity,3,512,uniform,1,2,10000,False,profile,ok,5,5
arity-l3-n512-zipf-w1-k2,arity,3,512,zipf,1,2,10000,False,adaptive,ok,5,5
arity-l3-n512-zipf-w1-k2,arity,3,512,zipf,1,2,10000,False,graph,ok,5,5
arity-l3-n512-zipf-w1-k2,arity,3,512,zipf,1,2,10000,False,lazy,ok,5,5
arity-l3-n512-zipf-w1-k2,arity,3,512,zipf,1,2,10000,False,native,ok,5,5
arity-l3-n512-zipf-w1-k2,arity,3,512,zipf,1,2,10000,False,profile,ok,5,5
arity-l3-n8192-uniform-w1-k2,arity,3,8192,uniform,1,2,10000,False,adaptive,ok,5,5
arity-l3-n8192-uniform-w1-k2,arity,3,8192,uniform,1,2,10000,False,graph,ok,5,5
arity-l3-n8192-uniform-w1-k2,arity,3,8192,uniform,1,2,10000,False,lazy,ok,5,5
arity-l3-n8192-uniform-w1-k2,arity,3,8192,uniform,1,2,10000,False,native,ok,5,5
arity-l3-n8192-uniform-w1-k2,arity,3,8192,uniform,1,2,10000,False,profile,ok,5,5
arity-l3-n8192-zipf-w1-k2,arity,3,8192,zipf,1,2,10000,False,adaptive,ok,5,5
arity-l3-n8192-zipf-w1-k2,arity,3,8192,zipf,1,2,10000,False,graph,ok,5,5
arity-l3-n8192-zipf-w1-k2,arity,3,8192,zipf,1,2,10000,False,lazy,ok,5,5
arity-l3-n8192-zipf-w1-k2,arity,3,8192,zipf,1,2,10000,False,native,ok,5,5
arity-l3-n8192-zipf-w1-k2,arity,3,8192,zipf,1,2,10000,False,profile,ok,5,5
arity-l4-n512-uniform-w1-k2,arity,4,512,uniform,1,2,10000,False,adaptive,ok,5,5
arity-l4-n512-uniform-w1-k2,arity,4,512,uniform,1,2,10000,False,graph,ok,5,5
arity-l4-n512-uniform-w1-k2,arity,4,512,uniform,1,2,10000,False,lazy,ok,5,5
arity-l4-n512-uniform-w1-k2,arity,4,512,uniform,1,2,10000,False,native,ok,5,5
arity-l4-n512-uniform-w1-k2,arity,4,512,uniform,1,2,10000,False,profile,ok,5,5
arity-l4-n512-zipf-w1-k2,arity,4,512,zipf,1,2,10000,False,adaptive,ok,5,5
arity-l4-n512-zipf-w1-k2,arity,4,512,zipf,1,2,10000,False,graph,ok,5,5
arity-l4-n512-zipf-w1-k2,arity,4,512,zipf,1,2,10000,False,lazy,ok,5,5
arity-l4-n512-zipf-w1-k2,arity,4,512,zipf,1,2,10000,False,native,ok,5,5
arity-l4-n512-zipf-w1-k2,arity,4,512,zipf,1,2,10000,False,profile,ok,5,5
arity-l4-n8192-uniform-w1-k2,arity,4,8192,uniform,1,2,10000,False,adaptive,ok,5,5
arity-l4-n8192-uniform-w1-k2,arity,4,8192,uniform,1,2,10000,False,graph,ok,5,5
arity-l4-n8192-uniform-w1-k2,arity,4,8192,uniform,1,2,10000,False,lazy,ok,5,5
arity-l4-n8192-uniform-w1-k2,arity,4,8192,uniform,1,2,10000,False,native,ok,5,5
arity-l4-n8192-uniform-w1-k2,arity,4,8192,uniform,1,2,10000,False,profile,ok,5,5
arity-l4-n8192-zipf-w1-k2,arity,4,8192,zipf,1,2,10000,False,adaptive,ok,5,5
arity-l4-n8192-zipf-w1-k2,arity,4,8192,zipf,1,2,10000,False,graph,ok,5,5
arity-l4-n8192-zipf-w1-k2,arity,4,8192,zipf,1,2,10000,False,lazy,ok,5,5
arity-l4-n8192-zipf-w1-k2,arity,4,8192,zipf,1,2,10000,False,native,ok,5,5
arity-l4-n8192-zipf-w1-k2,arity,4,8192,zipf,1,2,10000,False,profile,ok,5,5
constant-l1-n2048-uniform-w1-k2,constant,1,2048,uniform,1,2,10000,True,adaptive,ok,5,5
constant-l1-n2048-uniform-w1-k2,constant,1,2048,uniform,1,2,10000,True,graph,ok,5,5
constant-l1-n2048-uniform-w1-k2,constant,1,2048,uniform,1,2,10000,True,lazy,ok,5,5
constant-l1-n2048-uniform-w1-k2,constant,1,2048,uniform,1,2,10000,True,profile,ok,5,5
constant-l2-n2048-uniform-w1-k2,constant,2,2048,uniform,1,2,10000,True,adaptive,ok,5,5
constant-l2-n2048-uniform-w1-k2,constant,2,2048,uniform,1,2,10000,True,graph,ok,5,5
constant-l2-n2048-uniform-w1-k2,constant,2,2048,uniform,1,2,10000,True,lazy,ok,5,5
constant-l2-n2048-uniform-w1-k2,constant,2,2048,uniform,1,2,10000,True,profile,ok,5,5
constant-l3-n2048-uniform-w1-k2,constant,3,2048,uniform,1,2,10000,True,adaptive,ok,5,5
constant-l3-n2048-uniform-w1-k2,constant,3,2048,uniform,1,2,10000,True,graph,ok,5,5
constant-l3-n2048-uniform-w1-k2,constant,3,2048,uniform,1,2,10000,True,lazy,ok,5,5
