condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_repetitions
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,abort_count,5,4,2,6,2.0,4.0,2.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,actual_arity,5,2,2,2,2.0,2.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,apply_worker_ms,5,0.021685,0.0197,0.021797,0.020014,0.02171,0.0016959999999999996,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,arity_max,5,2,2,2,2.0,2.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,arity_min,5,2,2,2,2.0,2.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,batch_ms,5,0.304796,0.30098,0.313444,0.302008,0.310652,0.008643999999999985,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,commit_count,5,124,122,126,124.0,126.0,2.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,commit_wall_ms,5,0.032438,0.030509,0.032824,0.031308,0.032628,0.0013199999999999948,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,commit_worker_ms,5,0.031236,0.029576,0.031422,0.029793,0.031379,0.0015859999999999971,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,dependency_worker_ms,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,extract_ms,5,0.095197,0.094006,0.106934,0.094103,0.095848,0.0017449999999999966,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,initial_core_size,5,4,4,12,4.0,4.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,peak_rss_kib,5,8032,7932,8160,8020.0,8104.0,84.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,read_wall_ms,5,0.125443,0.121031,0.127674,0.121702,0.125657,0.003954999999999986,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,read_worker_ms,5,0.123636,0.119023,0.125872,0.119697,0.123822,0.004125000000000004,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,reservation_worker_ms,5,0.017435,0.017248,0.017669,0.017249,0.017464,0.0002149999999999999,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,round_count,5,2,1,3,1.0,2.0,1.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,runner_peak_rss_kib,5,8032,7932,8160,8020.0,8104.0,84.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.B,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.build_ms,5,0.008148,0.007908,0.014885,0.008111,0.008202,9.099999999999907e-05,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.certificate_ms,5,0.004334,0.004261,0.005808,0.00428,0.004338,5.799999999999989e-05,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.degree_queries,5,6,4,16,4.0,6.0,2.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.graph_bytes,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.heavy_subsets,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.heavy_updates,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.incidences,5,12,12,36,12.0,12.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.index_payload_bytes,5,4928,4928,6976,4928.0,4928.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.initial_core_size,5,4,4,12,4.0,4.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.kernel_ms,5,0.044084,0.043625,0.055908,0.043848,0.04471,0.0008620000000000017,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.light_scans,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.normalize_ms,5,0.095197,0.094006,0.106934,0.094103,0.095848,0.0017449999999999966,5
