condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_pairs
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,adaptive,batch_ms,5,0.5232089659969291,0.5099500405598548,0.5393532621652407,0.513753652965123,0.5294471393448069,0.01569348637968393,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,graph,batch_ms,5,0.5312687532505634,0.5087921017218067,0.5520744012011565,0.5159937616887446,0.5406513345643781,0.024657572875633527,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,lazy,batch_ms,5,0.5326190420525633,0.49543708874377645,0.5385124718676535,0.5193087311312146,0.5379052311431506,0.018596500011936024,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,profile,batch_ms,5,0.5055102273880824,0.48112602995174075,0.5241262363972173,0.5042513161847243,0.5088911290959711,0.004639812911246821,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,adaptive,batch_ms,5,0.3277651713934449,0.31633039107249145,0.3354722599597949,0.3195234067590924,0.33226408112649014,0.01274067436739773,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,graph,batch_ms,5,0.3032277054222531,0.2901605826508847,0.3325589080852481,0.2955917073203922,0.31742695025984374,0.02183524293945155,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,lazy,batch_ms,5,0.33375313913551785,0.31691825856903866,0.342024630025734,0.32691325927088083,0.3377658830915002,0.010852623820619356,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,profile,batch_ms,5,0.2833123563824237,0.26908640445958504,0.28971584304370696,0.278287027418924,0.2856666881623353,0.007379660743411287,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,adaptive,batch_ms,5,0.1734934109311416,0.17140180024866714,0.17636480369673702,0.17188833016906438,0.173902927029073,0.0020145968600086273,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,graph,batch_ms,5,0.037649916255300404,0.037059997504731185,0.03810307818705531,0.0372415628252836,0.03766100982857727,0.00041944700329367424,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,lazy,batch_ms,5,0.051037914998222814,0.05024119032907234,0.05147016120663309,0.05102418174579765,0.0512097539976957,0.00018557225189805293,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,profile,batch_ms,5,0.2916497406271682,0.2813420559317495,0.2972339182027254,0.2878910621968768,0.2920762926291639,0.004185230432287079,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,native,adaptive,batch_ms,5,0.3379019504480759,0.2847209515096066,0.3635803657362848,0.3270084215675997,0.33915001407261464,0.012141592505014953,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,native,graph,batch_ms,5,0.45012025012025014,0.3934857374064333,0.4718555233842077,0.44209343694410635,0.4581531296041062,0.016059692659999847,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,native,lazy,batch_ms,5,0.47373335299031893,0.4428002276607854,0.5304827586206897,0.4507707129094412,0.48105134474327627,0.03028063183383506,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,native,profile,batch_ms,5,0.3379019504480759,0.29445159336916205,0.34568078316061246,0.33652186421173763,0.34164164526281515,0.005119781051077521,5
