condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,seed,metric,status,ratio,baseline_ms,baseline_status,mode_ms,mode_status
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,lazy,11,selector_ms,ok,1.0540084271412065,0.152339,ok,0.144533,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,lazy,11,batch_ms,ok,1.0322199251196515,0.309058,ok,0.299411,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,profile,11,selector_ms,ok,0.9428551976827668,0.152339,ok,0.161572,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,profile,11,batch_ms,ok,0.9772430475407503,0.309058,ok,0.316255,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,adaptive,11,selector_ms,ok,1.0550376752174637,0.152339,ok,0.144392,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,adaptive,11,batch_ms,ok,1.013983123138099,0.309058,ok,0.304796,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,graph,11,batch_ms,ok,0.5159937616887446,0.159472,ok,0.309058,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,lazy,11,batch_ms,ok,0.5326190420525633,0.159472,ok,0.299411,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,profile,11,batch_ms,ok,0.5042513161847243,0.159472,ok,0.316255,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,adaptive,11,batch_ms,ok,0.5232089659969291,0.159472,ok,0.304796,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,lazy,29,selector_ms,ok,0.9944896279452591,0.142576,ok,0.143366,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,lazy,29,batch_ms,ok,0.9960439148856481,0.29785,ok,0.299033,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,profile,29,selector_ms,ok,0.8832282284142581,0.142576,ok,0.161426,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,profile,29,batch_ms,ok,0.9412556606486557,0.29785,ok,0.316439,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,adaptive,29,selector_ms,ok,0.9077053344623202,0.142576,ok,0.157073,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,adaptive,29,batch_ms,ok,0.950249486351629,0.29785,ok,0.313444,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,graph,29,batch_ms,ok,0.5406513345643781,0.161033,ok,0.29785,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,lazy,29,batch_ms,ok,0.5385124718676535,0.161033,ok,0.299033,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,profile,29,batch_ms,ok,0.5088911290959711,0.161033,ok,0.316439,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,adaptive,29,batch_ms,ok,0.513753652965123,0.161033,ok,0.313444,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,lazy,47,selector_ms,ok,0.9538063179699637,0.156553,ok,0.164135,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,lazy,47,batch_ms,ok,0.9737515324376392,0.311359,ok,0.319752,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,profile,47,selector_ms,ok,0.905904614209497,0.156553,ok,0.172814,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,profile,47,batch_ms,ok,0.9456240148452757,0.311359,ok,0.329263,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,adaptive,47,selector_ms,ok,1.0010486671057428,0.156553,ok,0.156389,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,adaptive,47,batch_ms,ok,1.0022758585169258,0.311359,ok,0.310652,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,graph,47,batch_ms,ok,0.5087921017218067,0.158417,ok,0.311359,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,lazy,47,batch_ms,ok,0.49543708874377645,0.158417,ok,0.319752,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,profile,47,batch_ms,ok,0.48112602995174075,0.158417,ok,0.329263,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,adaptive,47,batch_ms,ok,0.5099500405598548,0.158417,ok,0.310652,ok
