condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,mode,status,count,expected_repetitions
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,ok,5,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,ok,5,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,ok,5,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,ok,5,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,profile,ok,5,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,adaptive,ok,5,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,ok,5,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,lazy,ok,5,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,ok,5,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,profile,ok,5,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,adaptive,ok,5,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,ok,5,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,lazy,ok,5,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,ok,5,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,profile,ok,5,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,adaptive,ok,5,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,ok,5,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,lazy,ok,5,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,native,ok,5,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,profile,ok,5,5
