suite,policy,inputs,n_min,n_max,optimum_hits,mean_gap,max_gap,gap_histogram
all_subsets_u3,native,4681,0,4,3523,0.249946592608417,2,"{""0"": 3523, ""1"": 1146, ""2"": 12}"
all_subsets_u3,accept_id,4681,0,4,4105,0.12433240760521257,2,"{""0"": 4105, ""1"": 570, ""2"": 6}"
all_subsets_u3,accept_static_degree,4681,0,4,4681,0,0,"{""0"": 4681}"
all_subsets_u3,eas_k1,4681,0,4,4681,0,0,"{""0"": 4681}"
all_subsets_u3,eas_k2,4681,0,4,2552,0.46250801110873746,2,"{""0"": 2552, ""1"": 2093, ""2"": 36}"
ordered_pairs_u4,native,55987,0,6,18451,0.6704413524568203,1,"{""0"": 18451, ""1"": 37536}"
ordered_pairs_u4,accept_id,55987,0,6,39811,0.2889242145498062,1,"{""0"": 39811, ""1"": 16176}"
ordered_pairs_u4,accept_static_degree,55987,0,6,55987,0,0,"{""0"": 55987}"
ordered_pairs_u4,eas_k1,55987,0,6,55987,0,0,"{""0"": 55987}"
ordered_pairs_u4,eas_k2,55987,0,6,36241,0.49350742136567416,2,"{""0"": 36241, ""1"": 11862, ""2"": 7884}"
random,native,1000,0,18,500,0.77,4,"{""0"": 500, ""1"": 284, ""2"": 167, ""3"": 44, ""4"": 5}"
random,accept_id,1000,0,18,724,0.321,3,"{""0"": 724, ""1"": 234, ""2"": 39, ""3"": 3}"
random,accept_static_degree,1000,0,18,997,0.003,1,"{""0"": 997, ""1"": 3}"
random,eas_k1,1000,0,18,981,0.019,1,"{""0"": 981, ""1"": 19}"
random,eas_k2,1000,0,18,483,0.612,4,"{""0"": 483, ""1"": 428, ""2"": 84, ""3"": 4, ""4"": 1}"
