condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,metric,expected_seeds,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,commit_count,5,5,126,122,126,126.0,126.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,abort_count,5,5,2,2,6,2.0,2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,batch_ms,5,5,0.172412,0.169219,0.173961,0.170728,0.173116,0.0023880000000000012
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,selector_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,effective_commits_per_second,5,5,727835.67088,720959.230346,738016.025491,724300.274199,730807.600399,6507.32620000001
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,ms_per_commit,5,5,0.00137393650794,0.00135498412698,0.00138704098361,0.00136834920635,0.00138064285714,1.229365079000004e-05
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,peak_rss_kib,5,5,8248,8136,8276,8204.0,8252.0,48.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,runner_peak_rss_kib,5,5,8248,8136,8276,8204.0,8252.0,48.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,read_wall_ms,5,5,0.134305,0.131562,0.135385,0.132107,0.135129,0.003021999999999997
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,commit_wall_ms,5,5,0.038048,0.037912,0.038745,0.03796,0.038165,0.00020499999999999685
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,extract_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,read_worker_ms,5,5,0.132425,0.129474,0.133593,0.130294,0.133205,0.002910999999999997
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,commit_worker_ms,5,5,0.03688,0.036682,0.03716,0.036786,0.036891,0.00010500000000000093
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,reservation_worker_ms,5,5,0.017448,0.017226,0.017838,0.017447,0.017587,0.00013999999999999777
