condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,batch_delta_ms,5,-0.12820100000000004,-0.13617600000000002,-0.125308,-0.133239,-0.12692299999999998,0.006316000000000016
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,selector_delta_ms,5,-0.134313,-0.138453,-0.13184,-0.135578,-0.132716,0.0028620000000000034
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,batch_speedup,5,1.7439364632788228,1.7223117953341078,1.8047323291119792,1.731306758545156,1.7708359849580562,0.03952922641290013
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,selector_speedup,0,,,,,,
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,rate_ratio,5,1.7439364632799812,1.7223117953352547,1.8047323291121269,1.7313067585449478,1.7708359849572886,0.0395292264123408
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,batch_delta_ms,5,-0.153825,-0.15844199999999997,-0.146908,-0.156771,-0.150751,0.006019999999999998
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,selector_delta_ms,5,-0.157685,-0.161584,-0.156374,-0.158521,-0.156727,0.00179399999999999
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,batch_speedup,5,1.8825807562109127,1.8380185278145393,1.9363132981520985,1.8665792907605727,1.9182500820017807,0.05167079124120799
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,selector_speedup,0,,,,,,
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,rate_ratio,5,1.882580756209734,1.838018527814498,1.9363132981513513,1.8665792907572916,1.9182500820011206,0.051670791243829006
