condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,baseline,status,commit_delta,batch_delta_ms,selector_delta_ms,batch_speedup,selector_speedup,rate_ratio,baseline_commits,commits,baseline_batch_ms,batch_ms,quality_cost
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,1,accept_id,ok,0,-0.12865700000000002,-0.134923,1.7446290079870357,,1.7446290079880118,126,126,0.301437,0.17278,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,1,accept_static_degree,ok,0,-0.15415600000000002,-0.160082,1.8922097464984375,,1.8922097464977705,126,126,0.326936,0.17278,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,1,native,ok,0,0.147011,0.154057,0.5402903771525778,0.0,0.5402903771519308,126,126,0.17278,0.319791,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,1,accept_id,ok,0,0.01835399999999998,0.019134000000000012,0.9426062647166431,0.8757992171728645,0.942606264716042,126,126,0.301437,0.319791,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,1,accept_static_degree,ok,0,-0.0071450000000000125,-0.006025000000000003,1.0223427175874242,1.0391089012508357,1.02234271758584,126,126,0.326936,0.319791,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,1,native,ok,0,0.12865700000000002,0.134923,0.5731877639440414,0.0,0.5731877639437206,126,126,0.17278,0.301437,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,1,accept_static_degree,ok,0,-0.025498999999999994,-0.025159000000000015,1.0845914735085607,1.1864693195378107,1.0845914735075715,126,126,0.326936,0.301437,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,1,native,ok,-2,0.143951,0.149904,0.5455102279221169,0.0,0.5368513354149016,126,124,0.17278,0.316731,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,1,accept_id,ok,-2,0.015293999999999974,0.014981000000000022,0.9517129677865445,0.9000627067990179,0.9366064127419392,126,124,0.301437,0.316731,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,1,accept_static_degree,ok,-2,-0.01020500000000002,-0.010177999999999993,1.0322197700888136,1.0678967872771907,1.0158353292924207,126,124,0.326936,0.316731,tradeoff_or_tie
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,1,native,ok,0,0.15415600000000002,0.160082,0.5284826388039249,0.0,0.5284826388041112,126,126,0.17278,0.326936,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,1,accept_id,ok,0,0.025498999999999994,0.025159000000000015,0.9220061418748624,0.8428367961419772,0.9220061418757033,126,126,0.301437,0.326936,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,2,native,ok,0,0.148402,0.159663,0.5415531377237369,0.0,0.5415531377242708,126,126,0.175304,0.323706,baseline_dominates
