condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,batch_delta_ms,3,-0.12820100000000004,-0.12865700000000002,-0.11762699999999998,-0.12842900000000002,-0.12291400000000001,0.005515000000000006
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,selector_delta_ms,3,-0.135578,-0.136119,-0.134923,-0.13584849999999998,-0.1352505,0.0005979999999999874
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,batch_speedup,3,1.731306758545156,1.6794692576076156,1.7446290079870357,1.705388008076386,1.7379678832660959,0.03257987518970995
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,selector_speedup,0,,,,,,
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,rate_ratio,3,1.7313067585449478,1.6794692576081998,1.7446290079880118,1.7053880080765738,1.7379678832664798,0.032579875189906016
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,batch_delta_ms,3,-0.146908,-0.15415600000000002,-0.14081,-0.150532,-0.14385900000000001,0.0066729999999999845
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,selector_delta_ms,3,-0.157685,-0.160082,-0.155557,-0.1588835,-0.156621,0.0022625000000000006
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,batch_speedup,3,1.8380185278145393,1.8133852445758913,1.8922097464984375,1.8257018861952155,1.8651141371564885,0.0394122509612731
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,selector_speedup,0,,,,,,
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,rate_ratio,3,1.838018527814498,1.8133852445775849,1.8922097464977705,1.8257018861960415,1.8651141371561342,0.03941225096009271
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,11,batch_delta_ms,3,0.147011,0.14035000000000003,0.148402,0.14368050000000002,0.14770650000000002,0.004026000000000002
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,11,selector_delta_ms,3,0.154057,0.150897,0.159663,0.152477,0.15686,0.004382999999999998
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,11,batch_speedup,3,0.5415531377237369,0.5402903771525778,0.552264041395239,0.5409217574381573,0.546908589559488,0.005986832121330665
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,11,selector_speedup,3,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,11,rate_ratio,3,0.5415531377242708,0.5402903771519308,0.5522640413955084,0.5409217574381009,0.5469085895598896,0.005986832121788743
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,batch_delta_ms,3,0.02020099999999997,0.01835399999999998,0.02272300000000005,0.019277499999999975,0.02146200000000001,0.0021845000000000336
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,selector_delta_ms,3,0.019134000000000012,0.015319,0.02354400000000001,0.017226500000000006,0.02133900000000001,0.004112500000000005
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,batch_speedup,3,0.9375946074524415,0.9275104796054435,0.9426062647166431,0.9325525435289426,0.9401004360845423,0.007547892555599733
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,selector_speedup,3,0.8757992171728645,0.8525394111347024,0.8984804204192264,0.8641693141537834,0.8871398187960454,0.022970504642262024
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,rate_ratio,3,0.9375946074532528,0.9275104796062188,0.942606264716042,0.9325525435297358,0.9401004360846474,0.007547892554911617
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,batch_delta_ms,3,-0.00045999999999996044,-0.0071450000000000125,0.0014939999999999953,-0.0038024999999999864,0.0005170000000000174,0.004319500000000004
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,selector_delta_ms,3,-0.0046599999999999975,-0.006025000000000003,0.0019780000000000075,-0.0053425,-0.001340999999999995,0.004001500000000005
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,batch_speedup,3,1.0014674637759755,0.9953847009323274,1.0223427175874242,0.9984260823541515,1.0119050906817,0.013479008327548447
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,selector_speedup,3,1.0308819923523993,0.9876114065249932,1.0391089012508357,1.0092466994386964,1.0349954468016174,0.025748747362920987
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,rate_ratio,3,1.0014674637773997,0.9953847009332863,1.02234271758584,0.998426082355343,1.0119050906816198,0.013479008326276798
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,11,batch_delta_ms,3,0.12820100000000004,0.11762699999999998,0.12865700000000002,0.12291400000000001,0.12842900000000002,0.005515000000000006
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,11,selector_delta_ms,3,0.135578,0.134923,0.136119,0.1352505,0.13584849999999998,0.0005979999999999874
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,11,batch_speedup,3,0.5775983921187459,0.5731877639440414,0.5954262011467172,0.5753930780313936,0.5865122966327315,0.01111921860133791
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,11,selector_speedup,3,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,11,rate_ratio,3,0.5775983921188155,0.5731877639437206,0.5954262011465101,0.575393078031268,0.5865122966326628,0.011119218601394754
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,11,batch_delta_ms,3,-0.02318300000000001,-0.025498999999999994,-0.018706999999999974,-0.024341,-0.02094499999999999,0.00339600000000001
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,11,selector_delta_ms,3,-0.021566000000000002,-0.025159000000000015,-0.019978999999999997,-0.023362500000000008,-0.0207725,0.002590000000000009
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,11,batch_speedup,3,1.0797370873933336,1.0616365463501425,1.0845914735085607,1.070686816871738,1.082164280450947,0.01147746357920898
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,11,selector_speedup,3,1.1584348988752489,1.1473616663470474,1.1864693195378107,1.1528982826111482,1.1724521092065299,0.01955382659538163
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,11,rate_ratio,3,1.0797370873939665,1.0616365463502464,1.0845914735075715,1.0706868168721064,1.082164280450769,0.011477463578662528
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,11,commit_delta,3,-2,-2,-2,-2.0,-2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,11,batch_delta_ms,3,0.143951,0.13237100000000002,0.14482000000000003,0.138161,0.1443855,0.006224499999999994
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,11,selector_delta_ms,3,0.151866,0.149904,0.153991,0.150885,0.1529285,0.0020435000000000036
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,11,batch_speedup,3,0.5476128000399845,0.5455102279221169,0.5666885988601806,0.5465615139810507,0.5571506994500826,0.01058918546903187
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,11,selector_speedup,3,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,11,rate_ratio,3,0.5389205333727456,0.5368513354149016,0.5576935417348118,0.5378859343938236,0.5483070375537786,0.010421103159955036
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,commit_delta,3,-2,-2,-2,-2.0,-2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,batch_delta_ms,3,0.015293999999999974,0.014744000000000035,0.016618999999999995,0.015019000000000005,0.015956499999999985,0.00093749999999998
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,selector_delta_ms,3,0.016287999999999997,0.014981000000000022,0.017872,0.01563450000000001,0.017079999999999998,0.0014454999999999885
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,batch_speedup,3,0.9517129677865445,0.9480857417750622,0.9517360804224074,0.9498993547808033,0.9517245241044759,0.001825169323672604
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,selector_speedup,3,0.892747553764503,0.8839412692949588,0.9000627067990179,0.8883444115297309,0.8964051302817604,0.008060718752029516
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,rate_ratio,3,0.9366064127419392,0.9330367617468824,0.936629158510252,0.9348215872444108,0.9366177856260955,0.001796198381684766
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,commit_delta,3,-2,-2,-2,-2.0,-2.0,0.0
