condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,status,trace_sha256,id,commit_count,abort_count,batch_ms,selector_ms,effective_commits_per_second,ms_per_commit,peak_rss_kib,runner_peak_rss_kib,read_wall_ms,commit_wall_ms,extract_ms,read_worker_ms,commit_worker_ms,reservation_worker_ms,dependency_worker_ms,apply_worker_ms,sync_wait_ms,selector_initial_core_size,selector_subsets,selector_incidences,selector_profiles,selector_heavy_subsets,selector_profile_links,selector_B,selector_degree_queries,selector_light_scans,selector_heavy_updates,selector_tree_updates,selector_trim_key_visits,selector_switches,selector_switch_round,selector_switch_remaining,selector_switch_queries,selector_graph_bytes,selector_index_payload_bytes,selector_normalize_ms,selector_build_ms,selector_trim_ms,selector_select_ms,selector_switch_ms,selector_certificate_ms,selector_kernel_ms,selector_total_ms,selector_count_ms,selector_sort_ms,selector_initial_degree_evaluations,selector_acceptance_key_visits,selector_degree_requeries
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,1,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r1-measure-native,126,2,0.17278,0,729251.070726,0.00137126984127,8276,8276,0.134309,0.038405,0,0.132696,0.037082,0.017343,0.007212,0.01484,0.002936,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,1,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r1-measure-eas_k1_adaptive,126,2,0.319791,0.154057,394007.336041,0.00253802380952,8040,8040,0.133266,0.03237,0.100085,0.131385,0.031222,0.017394,0,0.021638,0.003029,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.100085,0.009403,0.014624,0.001443,0,0.004297,0.047011,0.154057,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,1,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r1-measure-accept_id,126,2,0.301437,0.134923,417997.790583,0.00239235714286,8068,8068,0.135445,0.030952,0.096995,0.133658,0.029782,0.017601,0,0.020057,0.002957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096995,0,0,0.003973,0,0.002607,0.03133,0.134923,0,0.000198,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,1,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r1-measure-eas_k2_adaptive,124,4,0.316731,0.149904,391499.411172,0.00255428225806,8108,8108,0.134551,0.032178,0.09762,0.132571,0.03075,0.017351,0,0.021152,0.003408,4,10,12,0,0,0,0,6,0,0,0,768,0,0,0,0,0,4928,0.09762,0.008715,0.014219,0.001772,0,0.004085,0.045724,0.149904,0,0,0,0,2
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,1,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r1-measure-accept_static_degree,126,2,0.326936,0.160082,385396.530208,0.00259473015873,8124,8124,0.134221,0.032431,0.099355,0.132361,0.031173,0.017351,0,0.021479,0.003118,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.099355,0,0,0.006251,0,0.002674,0.054178,0.160082,0.015723,0.005579,128,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,2,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r2-measure-eas_k1_adaptive,126,2,0.323706,0.159663,389242.090045,0.0025690952381,8052,8052,0.13453,0.02942,0.106072,0.132744,0.02812,0.017706,0,0.018381,0.003086,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.106072,0.009253,0.014908,0.001451,0,0.004173,0.046946,0.159663,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,2,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r2-measure-accept_id,126,2,0.303505,0.136119,415149.668045,0.00240876984127,8180,8180,0.13537,0.03191,0.09776,0.133519,0.030741,0.017466,0,0.021167,0.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09776,0,0,0.003926,0,0.002513,0.030993,0.136119,0,0.000188,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,2,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r2-measure-eas_k2_adaptive,124,4,0.320124,0.153991,387349.901913,0.00258164516129,8008,8008,0.136767,0.02926,0.096472,0.134822,0.02784,0.017417,0,0.017988,0.003365,4,10,12,0,0,0,0,6,0,0,0,768,0,0,0,0,0,4928,0.096472,0.009003,0.01506,0.001762,0,0.004041,0.051034,0.153991,0,0,0,0,2
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,2,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r2-measure-accept_static_degree,126,2,0.322212,0.157685,391046.888384,0.00255723809524,8080,8080,0.133969,0.030438,0.096227,0.131867,0.029063,0.017357,0,0.019515,0.003477,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.096227,0,0,0.006147,0,0.002613,0.05466,0.157685,0.016342,0.005631,128,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,2,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r2-measure-native,126,2,0.175304,0,718751.426094,0.0013913015873,8276,8276,0.137078,0.038165,0,0.135329,0.036891,0.017448,0.007171,0.014808,0.003023,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
