condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,metric,expected_repeats,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,commit_count,3,3,126,126,126,126.0,126.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,abort_count,3,3,2,2,2,2.0,2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,batch_ms,3,3,0.173116,0.17278,0.175304,0.172948,0.17420999999999998,0.0012619999999999854
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,effective_commits_per_second,3,3,727835.67088,718751.426094,729251.070726,723293.5484869999,728543.3708029999,5249.822316000005
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,ms_per_commit,3,3,0.00137393650794,0.00137126984127,0.0013913015873,0.0013726031746050002,0.00138261904762,1.0015873014999855e-05
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,peak_rss_kib,3,3,8276,8108,8276,8192.0,8276.0,84.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,runner_peak_rss_kib,3,3,8276,8108,8276,8192.0,8276.0,84.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,read_wall_ms,3,3,0.135385,0.134309,0.137078,0.134847,0.1362315,0.0013845000000000107
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,commit_wall_ms,3,3,0.038165,0.037647,0.038405,0.037905999999999995,0.038285,0.00037900000000000433
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,extract_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,read_worker_ms,3,3,0.133593,0.132696,0.135329,0.1331445,0.134461,0.0013164999999999982
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,commit_worker_ms,3,3,0.036891,0.036605,0.037082,0.036748,0.0369865,0.00023849999999999566
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,reservation_worker_ms,3,3,0.017448,0.017343,0.017481,0.0173955,0.0174645,6.899999999999962e-05
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,dependency_worker_ms,3,3,0.007171,0.006935,0.007212,0.007053,0.0071915,0.00013849999999999973
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,apply_worker_ms,3,3,0.01483,0.014808,0.01484,0.014818999999999999,0.014835000000000001,1.6000000000002124e-05
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,sync_wait_ms,3,3,0.002936,0.002834,0.003023,0.002885,0.0029795,9.449999999999997e-05
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_B,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_acceptance_key_visits,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_build_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_certificate_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_count_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_degree_queries,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_degree_requeries,3,3,0,0,0,0.0,0.0,0.0
