condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,extra_cost_us,eas_rate,baseline_rate,rate_ratio
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.01835399999999998,0,394007.336041352,417997.7905831069,0.9426062647166431
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.01835399999999998,0.1,378843.6848862417,400971.24145151593,0.9448151032349041
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.01835399999999998,1,281381.26938683446,293407.41482452606,0.9590121284259844
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.01835399999999998,10,78760.28806262818,79674.37210587585,0.9885272513722106
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.01835399999999998,100,9603.811524131748,9617.265648035402,0.9986010447879848
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.01835399999999998,1000,981.921798797194,982.0622663797601,0.9998569667246417
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.0071450000000000125,0,394007.336041352,385396.53020774707,1.0223427175874242
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.0071450000000000125,0.1,378843.6848862417,370876.2097628747,1.0214828422897795
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.0071450000000000125,1,281381.26938683446,276962.034220198,1.0159561045219756
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.0071450000000000125,10,78760.28806262818,78410.09225009583,1.0044662083984721
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.0071450000000000125,100,9603.811524131748,9598.584163128395,1.0005445970899993
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.0071450000000000125,1000,981.921798797194,981.8671272568996,1.0000556812004158
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.015293999999999974,0,391499.41117225663,417997.7905831069,0.9366064127423137
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.015293999999999974,0.1,376292.36703071947,400971.24145151593,0.9384522582431125
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.015293999999999974,1,278820.2306562844,293407.41482452606,0.9502835189868476
