condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,wins_for,crossover_us
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.01835399999999998,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.0071450000000000125,all_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.015293999999999974,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,1,-2,-0.01020500000000002,c_below,2.468585937500017
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,2,0,0.02020099999999997,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,0.0014939999999999953,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.016618999999999995,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.0020879999999999788,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.02272300000000005,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,-0.00045999999999996044,all_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,-2,0.014744000000000035,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,3,-2,-0.008438999999999974,c_below,1.7010234374999766
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,1,0,0.018419999999999992,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,1,0,-0.0070230000000000015,all_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,1,0,0.024949999999999972,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,1,0,-0.0004930000000000212,all_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,2,0,0.004955000000000043,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,2,0,-0.012650999999999968,all_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,2,0,0.009835000000000038,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,2,0,-0.007770999999999972,all_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,3,0,0.0037309999999999843,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,3,0,-0.023774000000000017,all_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,3,0,0.020953,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,3,0,-0.006552000000000002,all_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,47,1,0,0.050641999999999965,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,47,1,0,0.021540000000000004,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,47,1,0,0.034051,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,47,1,0,0.004949000000000037,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,47,2,0,0.016361999999999988,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,47,2,0,-0.005903999999999965,all_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,47,2,0,0.01980499999999996,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,47,2,0,-0.002460999999999991,all_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,47,3,0,0.028054000000000023,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,47,3,0,0.0012989999999999946,no_c,
