condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,metric,expected_seeds,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,commit_count,5,5,126,122,126,126.0,126.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,abort_count,5,5,2,2,6,2.0,2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,batch_ms,5,5,0.164044,0.162514,0.167393,0.163705,0.16556,0.0018550000000000233
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,selector_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,effective_commits_per_second,5,5,761053.39454,750704.554685,769677.16319,752719.647775,768086.610909,15366.963134000078
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,ms_per_commit,5,5,0.00131396825397,0.00129924603175,0.00133208196721,0.00130193650794,0.00132851587302,2.6579365079999967e-05
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,peak_rss_kib,5,5,8188,8124,8268,8184.0,8188.0,4.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,runner_peak_rss_kib,5,5,8188,8124,8268,8184.0,8188.0,4.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,read_wall_ms,5,5,0.125962,0.124788,0.129534,0.125033,0.127354,0.0023209999999999897
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,commit_wall_ms,5,5,0.038099,0.037748,0.038384,0.038014,0.038313,0.00029900000000000065
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,extract_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,read_worker_ms,5,5,0.124085,0.12285,0.127632,0.123098,0.125297,0.0021989999999999926
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,commit_worker_ms,5,5,0.036934,0.036529,0.03726,0.036924,0.037008,8.400000000000074e-05
