condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,batch_delta_ms,5,-0.12606,-0.12890000000000001,-0.12478499999999998,-0.12836,-0.125405,0.002955000000000013
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,selector_delta_ms,5,-0.133842,-0.136254,-0.133313,-0.133966,-0.133592,0.0003740000000000132
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,batch_speedup,5,1.7703577659286924,1.7440566695883941,1.7903708427352105,1.7700436761247367,1.7859609591221925,0.015917282997455873
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,selector_speedup,0,,,,,,
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,rate_ratio,5,1.770357765926929,1.7440566695911615,1.7903708427344567,1.7700436761254035,1.7859609591224388,0.01591728299703532
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,batch_delta_ms,5,-0.148921,-0.158435,-0.146347,-0.153071,-0.146795,0.006276000000000004
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,selector_delta_ms,5,-0.155915,-0.165676,-0.15513,-0.156349,-0.155849,0.0005000000000000004
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,batch_speedup,5,1.900312176094303,1.8939678079472222,1.9749006239462445,1.8994986711766126,1.9114352913156092,0.011936620138996545
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,selector_speedup,0,,,,,,
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,rate_ratio,5,1.9003121760934902,1.8939678079454234,1.9749006239469862,1.8994986711795905,1.911435291312943,0.011936620133352616
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,batch_delta_ms,5,0.14082899999999998,0.140653,0.156203,0.140734,0.14566600000000002,0.00493200000000002
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,selector_delta_ms,5,0.15015,0.147933,0.163996,0.149889,0.152712,0.002822999999999992
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,batch_speedup,5,0.5407710067044061,0.508285115566259,0.5464933424420928,0.5277545436272507,0.5434026087012979,0.015648065074047146
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,rate_ratio,5,0.5407710067038967,0.5082851155660163,0.5464933424424369,0.5277545436271339,0.5434026087017535,0.015648065074619577
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,batch_delta_ms,5,0.019637000000000016,0.016019000000000005,0.02754000000000001,0.01711299999999999,0.02026100000000003,0.0031480000000000397
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,selector_delta_ms,5,0.016485,0.013218000000000008,0.028168,0.013727000000000017,0.017042,0.0033149999999999846
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,batch_speedup,5,0.9356123824107075,0.9137261290160894,0.9479708332656673,0.9343143548146562,0.9441962538804686,0.009881899065812383
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,selector_speedup,5,0.8902097902097902,0.828616974026053,0.9115687219010918,0.8868648512288062,0.9066444504896626,0.019779599260856373
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,rate_ratio,5,0.9356123824102038,0.9137261290173999,0.9479708332649374,0.9343143548135188,0.9441962538804547,0.009881899066935929
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,batch_delta_ms,5,-0.006730999999999987,-0.010394000000000014,-0.00121899999999997,-0.00867100000000004,-0.0019589999999999885,0.006712000000000051
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,selector_delta_ms,5,-0.005714999999999998,-0.007196999999999981,-0.001679999999999987,-0.005895000000000011,-0.0048719999999999875,0.0010230000000000239
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,batch_speedup,5,1.0220702273256366,1.0038125918743939,1.0341810074090638,1.0063627653182194,1.0277609694408427,0.021398204122623277
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,selector_speedup,5,1.03793964178074,1.0102441522963974,1.0486504025470988,1.032269815932228,1.0392947606985736,0.00702494476634552
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,rate_ratio,5,1.0220702273248239,1.0038125918742915,1.0341810074111095,1.0063627653184515,1.027760969440173,0.021398204121721554
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,batch_delta_ms,5,0.12606,0.12478499999999998,0.12890000000000001,0.125405,0.12836,0.002955000000000013
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,selector_delta_ms,5,0.133842,0.133313,0.136254,0.133592,0.133966,0.0003740000000000132
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,batch_speedup,5,0.5648575780813552,0.5585435017877447,0.5733758641202897,0.5599226539036465,0.5649578106396562,0.005035156736009738
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,rate_ratio,5,0.5648575780819179,0.5585435017879798,0.5733758641193798,0.5599226539035693,0.5649578106394434,0.005035156735874069
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,batch_delta_ms,5,-0.025197000000000025,-0.035611000000000004,-0.021187999999999985,-0.029824000000000017,-0.022982000000000002,0.006842000000000015
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,selector_delta_ms,5,-0.021579999999999988,-0.031834,-0.01962799999999998,-0.022757,-0.020440999999999987,0.0023160000000000125
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,batch_speedup,5,1.0870209393163899,1.074420369010948,1.121954226497673,1.0800774920992207,1.1034862054248369,0.023408713325616226
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,selector_speedup,5,1.160722132435633,1.1448539504951956,1.2378476113626515,1.1508850406720108,1.17034702676807,0.019461986096059203
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,rate_ratio,5,1.0870209393155483,1.074420369012285,1.1219542264975795,1.080077492100516,1.1034862054265941,0.02340871332607808
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,commit_delta,5,0,-2,0,-2.0,0.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,batch_delta_ms,5,0.144067,0.13767300000000002,0.157237,0.143666,0.14440800000000004,0.0007420000000000482
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,selector_delta_ms,5,0.149314,0.147335,0.163297,0.148884,0.151586,0.00270200000000001
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,batch_speedup,5,0.5328335569118234,0.5050926945957005,0.548710770784027,0.5319034869968678,0.5354012922587363,0.003497805261868492
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,rate_ratio,5,0.5269028590475906,0.5050926945955353,0.5487107707841579,0.5243758814052784,0.5319034869973638,0.007527605592085429
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,commit_delta,5,0,-2,0,-2.0,0.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,batch_delta_ms,5,0.01737500000000003,0.011947999999999959,0.02570699999999998,0.01728799999999997,0.019003000000000048,0.0017150000000000776
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,selector_delta_ms,5,0.014614999999999989,0.014022000000000007,0.027371000000000006,0.014307999999999987,0.016646000000000022,0.0023380000000000345
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,batch_speedup,5,0.9426035366131627,0.9190865883982249,0.9606733066942276,0.9381404705790438,0.9436577488520039,0.005517278272960113
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,selector_speedup,5,0.9018363289540852,0.8302184067041739,0.9048291308921844,0.8888532777800033,0.9044745029442791,0.015621225164275776
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,rate_ratio,5,0.9286790544255101,0.9190865883973858,0.9606733066942432,0.9232493519980738,0.9426035366132608,0.01935418461518701
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,commit_delta,5,0,-2,0,-2.0,0.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,batch_delta_ms,5,-0.007790000000000019,-0.008992999999999973,0.0016810000000000436,-0.007909000000000055,-0.006030000000000035,0.0018790000000000195
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,selector_delta_ms,5,-0.0061329999999999996,-0.006964999999999999,0.0008240000000000192,-0.006569000000000019,-0.0044159999999999755,0.0021530000000000438
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,batch_speedup,5,1.024870221501408,0.9946989167625864,1.029707418430954,1.01984766995596,1.0257757325502952,0.005928062594335204
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,selector_speedup,5,1.0409461751078233,0.995051051051051,1.0467813868515086,1.0290654433204107,1.0453306466638606,0.01626520334344983
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,rate_ratio,5,1.009493578064293,0.9946989167630188,1.0297074184307968,1.0086024402063536,1.0198476699569972,0.01124522975064357
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,native,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,native,batch_delta_ms,5,0.148921,0.146347,0.158435,0.146795,0.153071,0.006276000000000004
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,native,selector_delta_ms,5,0.155915,0.15513,0.165676,0.155849,0.156349,0.0005000000000000004
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,native,batch_speedup,5,0.5262293283071481,0.5063545921626177,0.527992078748081,0.5231670695541655,0.5264546983760545,0.0032876288218890437
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,native,rate_ratio,5,0.5262293283073731,0.5063545921624276,0.5279920787485824,0.5231670695548952,0.5264546983752292,0.0032876288203339543
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,accept_id,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,accept_id,batch_delta_ms,5,0.025197000000000025,0.021187999999999985,0.035611000000000004,0.022982000000000002,0.029824000000000017,0.006842000000000015
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,accept_id,selector_delta_ms,5,0.021579999999999988,0.01962799999999998,0.031834,0.020440999999999987,0.022757,0.0023160000000000125
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,accept_id,batch_speedup,5,0.9199454801936787,0.8913019590127406,0.9307344023275961,0.9062188499356952,0.9258594937076382,0.019640643771942967
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,accept_id,selector_speedup,5,0.8615326373605221,0.8078538834834255,0.8734738606330176,0.854447422113349,0.8688965141262869,0.01444909201293787
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,accept_id,rate_ratio,5,0.919945480194391,0.8913019590128148,0.9307344023264378,0.9062188499342521,0.9258594937065276,0.01964064377227559
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,commit_delta,5,5,5,7,5.0,6.0,1.0
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,batch_delta_ms,5,0.28151899999999996,0.273308,0.29403999999999997,0.274578,0.290305,0.01572699999999999
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,selector_delta_ms,5,0.282202,0.275111,0.293665,0.278198,0.29233,0.014131999999999978
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,batch_speedup,5,0.3302683979388409,0.31257353864470316,0.3375539903144648,0.31282088912770234,0.3365533771800534,0.023732488052351064
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,rate_ratio,5,0.3556736593197296,0.3428998207755535,0.3756649247038664,0.34606356064300053,0.3624420985013462,0.016378537858345643
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,commit_delta,5,2,1,2,2.0,2.0,0.0
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,batch_delta_ms,5,0.15102900000000002,0.13793899999999998,0.170441,0.147144,0.15794800000000003,0.010804000000000036
