condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,baseline,status,commit_delta,batch_delta_ms,selector_delta_ms,batch_speedup,selector_speedup,rate_ratio,baseline_commits,commits,baseline_batch_ms,batch_ms,quality_cost
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,1,accept_id,ok,0,-0.125405,-0.133592,1.7703577659286924,,1.770357765926929,126,126,0.288193,0.162788,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,1,accept_static_degree,ok,0,-0.155229,-0.156349,1.9535653733690446,,1.9535653733702094,126,126,0.318017,0.162788,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,1,native,ok,0,0.14566600000000002,0.150634,0.5277545436272507,0.0,0.5277545436271339,126,126,0.162788,0.308454,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,1,accept_id,ok,0,0.02026100000000003,0.017042,0.9343143548146562,0.8868648512288062,0.9343143548135188,126,126,0.288193,0.308454,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,1,accept_static_degree,ok,0,-0.009562999999999988,-0.005714999999999998,1.0310030020683796,1.03793964178074,1.0310030020687664,126,126,0.318017,0.308454,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,1,native,ok,0,0.125405,0.133592,0.5648575780813552,0.0,0.5648575780819179,126,126,0.162788,0.288193,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,1,accept_static_degree,ok,0,-0.029824000000000017,-0.022757,1.1034862054248369,1.17034702676807,1.1034862054265941,126,126,0.318017,0.288193,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,1,native,ok,-2,0.14440800000000004,0.151933,0.5299157541113816,0.0,0.5215043929353321,126,124,0.162788,0.307196,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,1,accept_id,ok,-2,0.019003000000000048,0.018341000000000024,0.9381404705790438,0.8792823152310556,0.9232493519980738,126,124,0.288193,0.307196,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,1,accept_static_degree,ok,-2,-0.01082099999999997,-0.0044159999999999755,1.03522506803474,1.0290654433204107,1.0187929240989164,126,124,0.318017,0.307196,tradeoff_or_tie
