condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,batch_delta_ms,3,-0.125405,-0.131696,-0.122089,-0.1285505,-0.123747,0.004803500000000016
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,selector_delta_ms,3,-0.133592,-0.139959,-0.13312,-0.1367755,-0.13335599999999997,0.0034195000000000197
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,batch_speedup,3,1.7703577659286924,1.7269582303730389,1.8028090024627539,1.7486579981508656,1.786583384195723,0.0379253860448574
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,selector_speedup,0,,,,,,
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,rate_ratio,3,1.770357765926929,1.7269582303734121,1.8028090024603938,1.7486579981501706,1.7865833841936614,0.037925386043490716
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,batch_delta_ms,3,-0.153071,-0.155229,-0.14271199999999998,-0.15415,-0.1478915,0.0062585
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,selector_delta_ms,3,-0.156349,-0.164131,-0.155834,-0.16024,-0.1560915,0.004148499999999999
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,batch_speedup,3,1.9114352913156092,1.8699617175879641,1.9535653733690446,1.8906985044517866,1.9325003323423269,0.04180182789054032
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,selector_speedup,0,,,,,,
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,rate_ratio,3,1.911435291312943,1.8699617175880474,1.9535653733702094,1.8906985044504951,1.9325003323415761,0.041801827891081
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,11,batch_delta_ms,3,0.14566600000000002,0.14439999999999997,0.147384,0.145033,0.14652500000000002,0.001492000000000021
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,11,selector_delta_ms,3,0.152712,0.150634,0.155165,0.151673,0.15393849999999998,0.002265499999999976
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,11,batch_speedup,3,0.5277545436272507,0.5267477555004688,0.537690694584514,0.5272511495638598,0.5327226191058824,0.0054714695420226
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,11,selector_speedup,3,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,11,rate_ratio,3,0.5277545436271339,0.5267477555001073,0.5376906945849136,0.5272511495636206,0.5327226191060237,0.0054714695424030735
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,batch_delta_ms,3,0.02026100000000003,0.01568799999999998,0.02231099999999997,0.017974500000000004,0.021286,0.003311499999999995
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,selector_delta_ms,3,0.017042,0.015205999999999997,0.019592,0.016124,0.018317,0.0021930000000000005
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,batch_speedup,3,0.9343143548146562,0.9285693704077224,0.9496255956432949,0.9314418626111893,0.9419699752289755,0.01052811261778619
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,selector_speedup,3,0.8868648512288062,0.8717062182408717,0.9020010956079013,0.879285534734839,0.8944329734183538,0.015147438683514869
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,rate_ratio,3,0.9343143548135188,0.9285693704086131,0.9496255956413998,0.9314418626110659,0.9419699752274593,0.010528112616393415
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,batch_delta_ms,3,-0.00867100000000004,-0.009562999999999988,0.0046720000000000095,-0.009117000000000014,-0.001999500000000015,0.007117499999999999
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,selector_delta_ms,3,-0.005714999999999998,-0.011419000000000012,-0.0006690000000000029,-0.008567000000000005,-0.0031920000000000004,0.005375000000000005
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,batch_speedup,3,1.0277609694408427,0.9849981376112616,1.0310030020683796,1.0063795535260522,1.0293819857546112,0.02300243222855891
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,selector_speedup,3,1.03793964178074,1.0043115393291013,1.0747747393787,1.0211255905549206,1.05635719057972,0.035231600024799414
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,rate_ratio,3,1.027760969440173,0.9849981376106296,1.0310030020687664,1.0063795535254014,1.0293819857544697,0.02300243222906828
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,11,batch_delta_ms,3,0.125405,0.122089,0.131696,0.123747,0.1285505,0.004803500000000016
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,11,selector_delta_ms,3,0.133592,0.13312,0.139959,0.13335599999999997,0.1367755,0.0034195000000000197
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,11,batch_speedup,3,0.5648575780813552,0.5546899303442212,0.5790528007061241,0.5597737542127882,0.5719551893937396,0.012181435180951383
