condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,status,trace_sha256,id,commit_count,abort_count,batch_ms,selector_ms,effective_commits_per_second,ms_per_commit,peak_rss_kib,runner_peak_rss_kib,read_wall_ms,commit_wall_ms,extract_ms,read_worker_ms,commit_worker_ms,reservation_worker_ms,dependency_worker_ms,apply_worker_ms,sync_wait_ms,selector_initial_core_size,selector_subsets,selector_incidences,selector_profiles,selector_heavy_subsets,selector_profile_links,selector_B,selector_degree_queries,selector_light_scans,selector_heavy_updates,selector_tree_updates,selector_trim_key_visits,selector_switches,selector_switch_round,selector_switch_remaining,selector_switch_queries,selector_graph_bytes,selector_index_payload_bytes,selector_normalize_ms,selector_build_ms,selector_trim_ms,selector_select_ms,selector_switch_ms,selector_certificate_ms,selector_kernel_ms,selector_total_ms,selector_count_ms,selector_sort_ms,selector_initial_degree_evaluations,selector_acceptance_key_visits,selector_degree_requeries
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,1,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r1-measure-native,126,2,0.162788,0,774012.826498,0.00129196825397,8116,8116,0.124844,0.037885,0,0.123261,0.036781,0.017282,0.007047,0.014922,0.002687,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,1,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r1-measure-eas_k1_adaptive,126,2,0.308454,0.150634,408488.78601,0.00244804761905,8128,8128,0.129314,0.028342,0.098018,0.127545,0.027121,0.017771,0,0.017566,0.00299,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.098018,0.008432,0.014745,0.001476,0,0.004038,0.04606,0.150634,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,1,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r1-measure-accept_id,126,2,0.288193,0.133592,437207.01058,0.00228724603175,8324,8324,0.125758,0.028658,0.095854,0.123932,0.027547,0.017398,0,0.017905,0.002937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095854,0,0,0.003997,0,0.002795,0.031327,0.133592,0,0.0002,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,1,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r1-measure-eas_k2_adaptive,124,4,0.307196,0.151933,403651.089207,0.00247738709677,8208,8208,0.12721,0.027946,0.099731,0.125562,0.026533,0.017387,0,0.017165,0.003061,4,10,12,0,0,0,0,6,0,0,0,768,0,0,0,0,0,4928,0.099731,0.008187,0.014754,0.001622,0,0.00402,0.045557,0.151933,0,0,0,0,2
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,1,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r1-measure-accept_static_degree,126,2,0.318017,0.156349,396205.234311,0.00252394444444,8012,8012,0.133854,0.027728,0.095233,0.132278,0.026646,0.017886,0,0.016944,0.002658,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.095233,0,0,0.006403,0,0.00254,0.054347,0.156349,0.01596,0.005439,128,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,2,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r2-measure-eas_k1_adaptive,126,2,0.312345,0.152712,403400.086443,0.00247892857143,8192,8192,0.127566,0.03198,0.099441,0.12512,0.030781,0.01769,0,0.020773,0.003645,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.099441,0.009028,0.01476,0.001306,0,0.004198,0.046531,0.152712,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,2,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r2-measure-accept_id,126,2,0.290034,0.13312,434431.825234,0.00230185714286,8188,8188,0.127468,0.029364,0.095687,0.125574,0.028082,0.019101,0,0.017557,0.003176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095687,0,0,0.00389,0,0.002771,0.030172,0.13312,0,0.000184,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,2,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r2-measure-eas_k2_adaptive,124,4,0.313226,0.149766,395880.290908,0.00252601612903,8180,8180,0.130515,0.03284,0.096108,0.128905,0.031762,0.018383,0,0.021463,0.002688,4,10,12,0,0,0,0,6,0,0,0,768,0,0,0,0,0,4928,0.096108,0.008489,0.014043,0.001808,0,0.00412,0.047211,0.149766,0,0,0,0,2
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,2,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r2-measure-accept_static_degree,126,2,0.321016,0.164131,392503.800434,0.00254774603175,8124,8124,0.126064,0.030631,0.102202,0.124071,0.029387,0.01816,0,0.019597,0.003237,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.102202,0,0,0.006324,0,0.002768,0.055315,0.164131,0.016461,0.005386,128,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,2,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r2-measure-native,126,2,0.167945,0,750245.616124,0.0013328968254,8124,8124,0.129727,0.038168,0,0.127377,0.036934,0.017307,0.007185,0.01487,0.003584,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
