condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,metric,expected_repeats,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,commit_count,3,3,126,126,126,126.0,126.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,abort_count,3,3,2,2,2,2.0,2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,batch_ms,3,3,0.164044,0.162788,0.167945,0.163416,0.1659945,0.0025784999999999836
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,effective_commits_per_second,3,3,768086.610909,750245.616124,774012.826498,759166.1135165,771049.7187035,11883.605187000008
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,ms_per_commit,3,3,0.00130193650794,0.00129196825397,0.0013328968254,0.001296952380955,0.00131741666667,2.046428571500004e-05
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,peak_rss_kib,3,3,8124,8116,8276,8120.0,8200.0,80.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,runner_peak_rss_kib,3,3,8124,8116,8276,8120.0,8200.0,80.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,read_wall_ms,3,3,0.125962,0.124844,0.129727,0.125403,0.1278445,0.002441500000000013
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,commit_wall_ms,3,3,0.038014,0.037885,0.038168,0.0379495,0.038091,0.00014150000000000273
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,extract_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,read_worker_ms,3,3,0.124085,0.123261,0.127377,0.123673,0.12573099999999998,0.0020579999999999765
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,commit_worker_ms,3,3,0.036934,0.036781,0.037057,0.0368575,0.0369955,0.00013799999999999923
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,reservation_worker_ms,3,3,0.017307,0.017282,0.017956,0.017294499999999997,0.0176315,0.00033700000000000396
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,dependency_worker_ms,3,3,0.007047,0.006988,0.007185,0.0070175,0.007116000000000001,9.85000000000005e-05
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,apply_worker_ms,3,3,0.014922,0.01487,0.015083,0.014896,0.015002499999999998,0.00010649999999999896
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,sync_wait_ms,3,3,0.002834,0.002687,0.003584,0.0027605,0.003209,0.0004485000000000001
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_B,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_acceptance_key_visits,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_build_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_certificate_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_count_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_degree_queries,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_degree_requeries,3,3,0,0,0,0.0,0.0,0.0
