condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,extra_cost_us,eas_rate,baseline_rate,rate_ratio
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.02026100000000003,0,408488.78601023165,437207.0105797157,0.9343143548146562
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.02026100000000003,0.1,392213.01524650276,418614.3863810787,0.9369315245880205
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.02026100000000003,1,288690.21706754895,302744.1595605885,0.9535781548570984
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.02026100000000003,10,79322.4103436423,80347.25317610778,0.9872448305081545
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.02026100000000003,100,9612.117493031596,9626.997401398345,0.9984543562497911
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.02026100000000003,1000,982.0085588436751,982.1636508669195,0.9998420914649941
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.009562999999999988,0,408488.78601023165,396205.2343113733,1.0310030020683796
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.009562999999999988,0.1,392213.01524650276,380875.22708929714,1.029767722736526
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.009562999999999988,1,288690.21706754895,282500.4428082338,1.0219106709985475
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.009562999999999988,10,79322.4103436423,78847.72189532402,1.0060203191279067
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.009562999999999988,100,9612.117493031596,9605.11028458036,1.0007295292030622
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.009562999999999988,1000,982.0085588436751,981.9353738921948,1.0000745313321286
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.019003000000000048,0,403651.08920689067,437207.0105797157,0.9232493519984241
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.019003000000000048,0.1,387504.8438105476,418614.3863810787,0.925684487722763
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.019003000000000048,1,284929.08942177775,302744.1595605885,0.941154702489825
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.019003000000000048,10,78125.196888097,80347.25317610778,0.9723443403455198
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.019003000000000048,100,9460.452105850862,9626.997401398345,0.9827001827669246
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.019003000000000048,1000,966.4305967687112,982.1636508669195,0.9839812295188064
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,1,-2,-0.01082099999999997,0,403651.08920689067,396205.2343113733,1.0187929240976805
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,1,-2,-0.01082099999999997,0.1,387504.8438105476,380875.22708929714,1.017406269165666
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,1,-2,-0.01082099999999997,1,284929.08942177775,282500.4428082338,1.0085969656875637
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,1,-2,-0.01082099999999997,10,78125.196888097,78847.72189532402,0.9908364504406832
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,1,-2,-0.01082099999999997,100,9460.452105850862,9605.11028458036,0.9849394567637889
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,1,-2,-0.01082099999999997,1000,966.4305967687112,981.9353738921948,0.9842099821070447
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,2,0,0.02231099999999997,0,403400.0864428757,434431.8252342829,0.9285693704077222
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,2,0,0.02231099999999997,0.1,387519.41441510717,416069.5298414313,0.9313813836903536
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,2,0,0.02231099999999997,1,286139.2771576832,301410.89002329955,0.9493329094232932
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,2,0,0.02231099999999997,10,79128.5808037831,80253.03910615947,0.9859885891562445
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,2,0,0.02231099999999997,100,9609.265161952342,9625.643447526569,0.9982984736902513
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,2,0,0.02231099999999997,1000,981.9787799841083,982.1495565275164,0.9998261196146013
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,-0.00867100000000004,0,403400.0864428757,392503.8004336232,1.0277609694408427
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,-0.00867100000000004,0.1,387519.41441510717,377453.447408153,1.0266681019237573
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,-0.00867100000000004,1,286139.2771576832,280613.60842375323,1.019691378351066
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,-0.00867100000000004,10,79128.5808037831,78700.02548381778,1.0054454279694414
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,-0.00867100000000004,100,9609.265161952342,9602.9148962245,1.0006612852239625
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,-0.00867100000000004,1000,981.9787799841083,981.9124250076076,1.0000675772857242
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.02319199999999999,0,395880.29090816213,434431.8252342829,0.9112598753433166
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.02319199999999999,0.1,380337.76447277213,416069.5298414313,0.9141206870345038
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.02319199999999999,1,281035.11579100054,301410.89002329955,0.9323986793220247
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.02319199999999999,10,77829.51069088755,80253.03910615947,0.9698014126036266
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.02319199999999999,100,9456.101801341638,9625.643447526569,0.9823864610081213
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.02319199999999999,1000,966.3851799657816,982.1495565275164,0.9839491078960813
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.007790000000000019,0,395880.29090816213,392503.8004336232,1.008602440207735
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.007790000000000019,0.1,380337.76447277213,377453.447408153,1.0076415173431976
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.007790000000000019,1,281035.11579100054,280613.60842375323,1.0015020916826343
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.007790000000000019,10,77829.51069088755,78700.02548381778,0.9889388245101747
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.007790000000000019,100,9456.101801341638,9602.9148962245,0.9847116113732735
