condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,metric,expected_seeds,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,commit_count,5,5,126,122,126,126.0,126.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,abort_count,5,5,2,2,6,2.0,2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,batch_ms,5,5,0.161865,0.160171,0.163999,0.161452,0.163347,0.00189499999999998
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,selector_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,effective_commits_per_second,5,5,778426.4665,746876.281781,786659.257918,768297.367667,780417.709288,12120.34162099997
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,ms_per_commit,5,5,0.00128464285714,0.0012711984127,0.00133890983607,0.00128136507937,0.00130157936508,2.02142857100001e-05
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,peak_rss_kib,5,5,8172,8136,8260,8140.0,8228.0,88.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,runner_peak_rss_kib,5,5,8172,8136,8260,8140.0,8228.0,88.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,read_wall_ms,5,5,0.123142,0.122007,0.126493,0.123091,0.125585,0.0024939999999999962
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,commit_wall_ms,5,5,0.038149,0.037684,0.038218,0.038127,0.038198,7.100000000000162e-05
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,extract_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,read_worker_ms,5,5,0.121699,0.12014,0.124631,0.121233,0.123844,0.002611000000000002
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,commit_worker_ms,5,5,0.03704,0.036531,0.03718,0.036768,0.037149,0.0003809999999999994
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,reservation_worker_ms,5,5,0.017526,0.017414,0.017669,0.017496,0.017629,0.0001329999999999977
