condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,batch_delta_ms,5,-0.12671100000000002,-0.1324,-0.12579600000000002,-0.130964,-0.126306,0.0046579999999999955
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,selector_delta_ms,5,-0.135021,-0.137244,-0.134159,-0.137115,-0.134499,0.0026159999999999795
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,batch_speedup,5,1.7732373413653144,1.7588848296101096,1.8134612040050684,1.7635661737927018,1.812798507004555,0.04923233321185316
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,selector_speedup,0,,,,,,
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,rate_ratio,5,1.7732373413653961,1.7588848296114632,1.8134612040053033,1.7635661737927515,1.8127985070053967,0.049232333212645196
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,batch_delta_ms,5,-0.149157,-0.16108699999999998,-0.14840799999999998,-0.15187499999999998,-0.14859999999999998,0.003275
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,selector_delta_ms,5,-0.156801,-0.163289,-0.155832,-0.15948,-0.156425,0.003055000000000002
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,batch_speedup,5,1.9230042982434346,1.904932347148458,1.97892497949014,1.9156690854175107,1.9491238376162383,0.03345475219872762
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,selector_speedup,0,,,,,,
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,rate_ratio,5,1.923004298246647,1.9049323471503943,1.9789249794888006,1.9156690854203733,1.949123837613749,0.03345475219337568
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,batch_delta_ms,5,0.144487,0.13311099999999998,0.155297,0.14103899999999997,0.146153,0.005114000000000035
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,selector_delta_ms,5,0.150783,0.147842,0.158619,0.14862,0.15223,0.003610000000000002
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,batch_speedup,5,0.5273708003362675,0.5126316516237557,0.5519807478711589,0.5241625400050138,0.5317983622248218,0.007635822219807964
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,native,rate_ratio,5,0.5273708003355171,0.5126316516237509,0.551980747870803,0.5241625400041298,0.5317983622255809,0.007635822221451094
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,batch_delta_ms,5,0.014327999999999952,0.0038779999999999926,0.028717000000000048,0.009850000000000025,0.015189000000000008,0.005338999999999983
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,selector_delta_ms,5,0.016278000000000015,0.011241000000000001,0.024652000000000007,0.014926999999999996,0.018691000000000013,0.0037640000000000173
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,batch_speedup,5,0.9534818787762697,0.9109279719108441,0.9868284299406974,0.9505484308918473,0.967779816753841,0.017231385861993687
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,selector_speedup,5,0.8938804247912224,0.8445835618683764,0.9228694936187731,0.87771671573438,0.901906407922666,0.024189692188285927
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,rate_ratio,5,0.9534818787769511,0.9109279719094949,0.986828429939956,0.9505484308903671,0.9677798167538791,0.017231385863512028
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,batch_delta_ms,5,-0.006315999999999988,-0.014390999999999987,0.0008490000000000442,-0.010994999999999977,-0.002446999999999977,0.008548
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,selector_delta_ms,5,-0.008490999999999999,-0.010650999999999994,0.0015610000000000068,-0.010502999999999985,-0.003482999999999986,0.0070199999999999985
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,batch_speedup,5,1.0206601702926639,0.9973666416461435,1.0488788201968602,1.0079668174078378,1.036540864617675,0.02857404720983725
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,selector_speedup,5,1.0582612872238233,0.9901288123589039,1.0722571979050772,1.0228798528542336,1.0717918221711846,0.048911969316951076
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,rate_ratio,5,1.0206601702927927,0.9973666416458793,1.0488788201974346,1.0079668174078216,1.0365408646178307,0.028574047210009113
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,batch_delta_ms,5,0.12671100000000002,0.12579600000000002,0.1324,0.126306,0.130964,0.0046579999999999955
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,selector_delta_ms,5,0.135021,0.134159,0.137244,0.134499,0.137115,0.0026159999999999795
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,batch_speedup,5,0.5639403009808288,0.55143170297301,0.5685420575386219,0.5516332875033019,0.5670328762597059,0.015399588756404015
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,rate_ratio,5,0.5639403009808028,0.5514317029729386,0.5685420575381843,0.5516332875030457,0.5670328762596899,0.015399588756644156
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,commit_delta,5,0,0,0,0.0,0.0,0.0
