condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,baseline,status,commit_delta,batch_delta_ms,selector_delta_ms,batch_speedup,selector_speedup,rate_ratio,baseline_commits,commits,baseline_batch_ms,batch_ms,quality_cost
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,1,accept_id,ok,0,-0.130964,-0.137115,1.8134612040050684,,1.8134612040053033,126,126,0.29196,0.160996,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,1,accept_static_degree,ok,0,-0.14859999999999998,-0.156011,1.9230042982434346,,1.923004298246647,126,126,0.309596,0.160996,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,1,native,ok,0,0.146153,0.153393,0.5241625400050138,0.0,0.5241625400041298,126,126,0.160996,0.307149,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,1,accept_id,ok,0,0.015189000000000008,0.016278000000000015,0.9505484308918473,0.8938804247912224,0.9505484308903671,126,126,0.29196,0.307149,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,1,accept_static_degree,ok,0,-0.002446999999999977,-0.002618000000000009,1.0079668174078378,1.017067271648641,1.0079668174078216,126,126,0.309596,0.307149,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,1,native,ok,0,0.130964,0.137115,0.55143170297301,0.0,0.5514317029729386,126,126,0.160996,0.29196,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,1,accept_static_degree,ok,0,-0.017635999999999985,-0.018896000000000024,1.0604055350047952,1.13781132625898,1.0604055350064294,126,126,0.309596,0.29196,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,1,native,ok,-2,0.14507499999999998,0.152304,0.5260086711906715,0.0,0.5176593272035964,126,124,0.160996,0.306071,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,1,accept_id,ok,-2,0.014110999999999985,0.015189000000000008,0.9538963181745412,0.9002718247715096,0.9387551067752092,126,124,0.29196,0.306071,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,1,accept_static_degree,ok,-2,-0.0035250000000000004,-0.003707000000000016,1.0115169356129787,1.0243394789368632,0.9954611112399835,126,124,0.309596,0.306071,tradeoff_or_tie
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,1,native,ok,0,0.14859999999999998,0.156011,0.5200196384966215,0.0,0.5200196384957527,126,126,0.160996,0.309596,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,1,accept_id,ok,0,0.017635999999999985,0.018896000000000024,0.9430354397343635,0.878880335360968,0.9430354397329103,126,126,0.29196,0.309596,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,2,native,ok,0,0.13866599999999998,0.146298,0.5379617350508801,0.0,0.5379617350508726,126,126,0.161452,0.300118,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,2,accept_id,ok,0,0.001933000000000018,0.00548700000000002,0.993559200047981,0.9624943608251649,0.9935592000478644,126,126,0.298185,0.300118,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,2,accept_static_degree,ok,0,-0.009709999999999996,-0.010502999999999985,1.0323539407832918,1.0717918221711846,1.032353940782083,126,126,0.309828,0.300118,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,2,native,ok,0,0.13673299999999997,0.140811,0.5414491003906972,0.0,0.5414491003907532,126,126,0.161452,0.298185,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,2,accept_static_degree,ok,0,-0.011643000000000014,-0.015990000000000004,1.0390462296896223,1.113556469309926,1.0390462296885274,126,126,0.309828,0.298185,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,2,native,ok,-2,0.14166899999999996,0.14907,0.532632183187572,0.0,0.524177704089025,126,124,0.161452,0.303121,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,2,accept_id,ok,-2,0.004935999999999996,0.008259000000000016,0.983716073779118,0.9445964982893942,0.9681015329247683,126,124,0.298185,0.303121,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,2,accept_static_degree,ok,-2,-0.0067070000000000185,-0.007730999999999988,1.0221264775452708,1.0518615415576573,1.0059022477411643,126,124,0.309828,0.303121,tradeoff_or_tie
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,2,native,ok,0,0.14837599999999998,0.156801,0.5211020308041882,0.0,0.5211020308047912,126,126,0.161452,0.309828,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,2,accept_id,ok,0,0.011643000000000014,0.015990000000000004,0.9624210852472984,0.8980236095433064,0.9624210852483125,126,126,0.298185,0.309828,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,2,accept_id,ok,0,-0.13673299999999997,-0.140811,1.846895671778609,,1.8468956717784175,126,126,0.298185,0.161452,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,2,accept_static_degree,ok,0,-0.14837599999999998,-0.156801,1.9190099843916457,,1.9190099843894248,126,126,0.309828,0.161452,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,3,native,ok,0,0.23004000000000002,0.150783,0.4175258776105495,0.0,0.41752587761085813,126,126,0.164896,0.394936,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,3,accept_id,ok,0,0.109568,0.017342999999999997,0.7225677071728077,0.8849804022999941,0.7225677071743034,126,126,0.285368,0.394936,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,3,accept_static_degree,ok,0,0.032376000000000016,-0.059065000000000006,0.9180221605525958,1.3917218784610998,0.9180221605545341,126,126,0.36256,0.394936,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,3,accept_id,ok,0,-0.12047200000000002,-0.13344,1.7305938288375706,,1.7305938288398734,126,126,0.285368,0.164896,variant_dominates
