condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,batch_delta_ms,3,-0.130964,-0.13673299999999997,-0.12047200000000002,-0.13384849999999998,-0.125718,0.008130499999999985
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,selector_delta_ms,3,-0.137115,-0.140811,-0.13344,-0.138963,-0.1352775,0.003685500000000008
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,batch_speedup,3,1.8134612040050684,1.7305938288375706,1.846895671778609,1.7720275164213195,1.8301784378918386,0.058150921470519146
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,selector_speedup,0,,,,,,
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_id,11,rate_ratio,3,1.8134612040053033,1.7305938288398734,1.8468956717784175,1.7720275164225883,1.8301784378918604,0.05815092146927214
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,batch_delta_ms,3,-0.14859999999999998,-0.197664,-0.14837599999999998,-0.173132,-0.14848799999999998,0.024644000000000027
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,selector_delta_ms,3,-0.156801,-0.209848,-0.156011,-0.1833245,-0.156406,0.026918500000000012
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,batch_speedup,3,1.9230042982434346,1.9190099843916457,2.1987191927032796,1.9210071413175402,2.060861745473357,0.13985460415581663
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,accept_static_degree,11,selector_speedup,0,,,,,,
