condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,status,trace_sha256,id,commit_count,abort_count,batch_ms,selector_ms,effective_commits_per_second,ms_per_commit,peak_rss_kib,runner_peak_rss_kib,read_wall_ms,commit_wall_ms,extract_ms,read_worker_ms,commit_worker_ms,reservation_worker_ms,dependency_worker_ms,apply_worker_ms,sync_wait_ms,selector_initial_core_size,selector_subsets,selector_incidences,selector_profiles,selector_heavy_subsets,selector_profile_links,selector_B,selector_degree_queries,selector_light_scans,selector_heavy_updates,selector_tree_updates,selector_trim_key_visits,selector_switches,selector_switch_round,selector_switch_remaining,selector_switch_queries,selector_graph_bytes,selector_index_payload_bytes,selector_normalize_ms,selector_build_ms,selector_trim_ms,selector_select_ms,selector_switch_ms,selector_certificate_ms,selector_kernel_ms,selector_total_ms,selector_count_ms,selector_sort_ms,selector_initial_degree_evaluations,selector_acceptance_key_visits,selector_degree_requeries
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,1,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r1-measure-native,126,2,0.160996,0,782628.13983,0.00127774603175,8240,8240,0.122745,0.038198,0,0.120758,0.036799,0.017669,0.007081,0.014912,0.003386,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,1,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r1-measure-eas_k1_adaptive,126,2,0.307149,0.153393,410224.353652,0.00243769047619,8052,8052,0.123297,0.030278,0.097571,0.121346,0.028984,0.017475,0,0.01971,0.003245,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.097571,0.009762,0.014615,0.001781,0,0.005047,0.049194,0.153393,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,1,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r1-measure-accept_id,126,2,0.29196,0.137115,431565.967941,0.00231714285714,8120,8120,0.122137,0.032623,0.098023,0.119927,0.031292,0.017794,0,0.021719,0.003541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098023,0,0,0.004034,0,0.003137,0.031434,0.137115,0,0.000276,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,1,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r1-measure-eas_k2_adaptive,124,4,0.306071,0.152304,405134.756315,0.00246831451613,8196,8196,0.126193,0.027483,0.098999,0.124406,0.026262,0.018123,0,0.016747,0.003008,4,10,12,0,0,0,0,6,0,0,0,768,0,0,0,0,0,4928,0.098999,0.008834,0.014643,0.001931,0,0.00431,0.046512,0.152304,0,0,0,0,2
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,1,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r1-measure-accept_static_degree,126,2,0.309596,0.156011,406982.002351,0.00245711111111,8124,8124,0.12211,0.031378,0.095358,0.120381,0.030267,0.017329,0,0.02056,0.00284,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.095358,0,0,0.006262,0,0.002713,0.053927,0.156011,0.01589,0.005465,128,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,2,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r2-measure-eas_k1_adaptive,126,2,0.300118,0.146298,419834.864953,0.00238188888889,8064,8064,0.124725,0.028954,0.094824,0.122859,0.027825,0.017222,0,0.01807,0.002995,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.094824,0.008096,0.014594,0.001309,0,0.003937,0.044886,0.146298,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,2,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r2-measure-accept_id,126,2,0.298185,0.140811,422556.466623,0.00236654761905,8180,8180,0.127584,0.029528,0.102848,0.125349,0.028147,0.01843,0,0.017995,0.003616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102848,0,0,0.003972,0,0.00283,0.031408,0.140811,0,0.0002,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,2,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r2-measure-eas_k2_adaptive,124,4,0.303121,0.14907,409077.563085,0.00244452419355,8212,8212,0.125876,0.028042,0.095111,0.124251,0.026671,0.017669,0,0.01716,0.002996,4,10,12,0,0,0,0,6,0,0,0,768,0,0,0,0,0,4928,0.095111,0.009865,0.014445,0.001752,0,0.004117,0.047253,0.14907,0,0,0,0,2
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,2,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r2-measure-accept_static_degree,126,2,0.309828,0.156801,406677.253186,0.00245895238095,8192,8192,0.125789,0.027131,0.094452,0.123974,0.025963,0.017283,0,0.016368,0.002983,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.094452,0,0,0.006196,0,0.00272,0.055594,0.156801,0.016713,0.005467,128,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,2,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r2-measure-native,126,2,0.161452,0,780417.709288,0.00128136507937,8172,8172,0.123142,0.038251,0,0.121233,0.036581,0.017463,0.006957,0.014852,0.003579,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
