condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,metric,expected_repeats,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,commit_count,3,3,126,126,126,126.0,126.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,abort_count,3,3,2,2,2,2.0,2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,batch_ms,3,3,0.161452,0.160996,0.164896,0.161224,0.16317399999999999,0.0019499999999999795
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,effective_commits_per_second,3,3,780417.709288,764117.989521,782628.13983,772267.8494045,781522.924559,9255.075154499966
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,ms_per_commit,3,3,0.00128136507937,0.00127774603175,0.0013086984127,0.0012795555555599998,0.0012950317460350001,1.54761904750003e-05
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,peak_rss_kib,3,3,8172,7960,8240,8066.0,8206.0,140.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,runner_peak_rss_kib,3,3,8172,7960,8240,8066.0,8206.0,140.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,read_wall_ms,3,3,0.123142,0.122745,0.126814,0.12294350000000001,0.124978,0.0020344999999999946
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,commit_wall_ms,3,3,0.038198,0.038008,0.038251,0.038103,0.0382245,0.00012150000000000355
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,extract_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,read_worker_ms,3,3,0.121233,0.120758,0.124951,0.1209955,0.12309200000000001,0.002096500000000001
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,commit_worker_ms,3,3,0.036768,0.036581,0.036799,0.0366745,0.0367835,0.00010899999999999799
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,reservation_worker_ms,3,3,0.017669,0.017463,0.018132,0.017566,0.0179005,0.00033450000000000146
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,dependency_worker_ms,3,3,0.007081,0.006957,0.007089,0.007018999999999999,0.007084999999999999,6.600000000000009e-05
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,apply_worker_ms,3,3,0.014912,0.014852,0.015062,0.014882,0.014987,0.00010500000000000093
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,sync_wait_ms,3,3,0.003386,0.003103,0.003579,0.0032445,0.0034825000000000004,0.00023800000000000036
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_B,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_acceptance_key_visits,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_build_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_certificate_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_count_ms,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_degree_queries,3,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,selector_degree_requeries,3,3,0,0,0,0.0,0.0,0.0
