condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,extra_cost_us,eas_rate,baseline_rate,rate_ratio
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.015189000000000008,0,410224.35365246184,431565.9679408138,0.9505484308918473
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.015189000000000008,0.1,393812.76390924805,413440.08400052506,0.9525268089601779
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.015189000000000008,1,289555.9911662442,300028.57414991903,0.9650947146839358
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.015189000000000008,10,79387.63153301926,80154.71131580956,0.9904300100368647
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.015189000000000008,100,9613.074513763442,9624.22738841243,0.9988411667556384
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.015189000000000008,1000,982.0185467607888,982.1348118775331,0.9998816200023273
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.002446999999999977,0,410224.35365246184,406982.0023514516,1.0079668174078378
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.002446999999999977,0.1,393812.76390924805,390823.7074901674,1.0076480939149677
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.002446999999999977,1,289555.9911662442,287936.81843526906,1.0056233611935221
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.002446999999999977,10,79387.63153301926,79265.42341576099,1.0015417582092165
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.002446999999999977,100,9613.074513763442,9611.280164545116,1.0001866920105966
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.002446999999999977,1000,982.0185467607888,981.9998186261922,1.0000190714236818
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.014110999999999985,0,405134.7563147113,431565.9679408138,0.9387551067749453
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.014110999999999985,0.1,388871.9889861418,413440.08400052506,0.9405764076461631
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.014110999999999985,1,285667.55208249344,300028.57414991903,0.9521344854965392
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.014110999999999985,10,78180.61108235382,80154.71131580956,0.9753713761668009
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.014110999999999985,100,9461.264172916506,9624.22738841243,0.9830673976290157
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.014110999999999985,1000,966.4390705253534,982.1348118775331,0.9840187506212366
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,1,-2,-0.0035250000000000004,0,405134.7563147113,406982.0023514516,0.9954611112381694
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,1,-2,-0.0035250000000000004,0.1,388871.9889861418,390823.7074901674,0.9950061409617156
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,1,-2,-0.0035250000000000004,1,285667.55208249344,287936.81843526906,0.9921188739769111
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,1,-2,-0.0035250000000000004,10,78180.61108235382,79265.42341576099,0.986314179794169
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,1,-2,-0.0035250000000000004,100,9461.264172916506,9611.280164545116,0.9843916742556312
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,1,-2,-0.0035250000000000004,1000,966.4390705253534,981.9998186261922,0.9841540214105048
