condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,wins_for,crossover_us
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,0,0.015189000000000008,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,-0.002446999999999977,all_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-2,0.014110999999999985,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,1,-2,-0.0035250000000000004,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,2,0,0.001933000000000018,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,-0.009709999999999996,all_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.004935999999999996,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.0067070000000000185,c_below,0.880570312500023
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.109568,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,0.032376000000000016,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,-2,0.022853000000000012,no_c,
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,3,-2,-0.05433899999999997,c_below,23.91247656249998
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,1,0,0.01200399999999996,no_c,
