condition,mode,commit_count_count,commit_count_maximum,commit_count_median,commit_count_minimum,complete,complete_seeds,expected_seeds,fvs_size_count,fvs_size_maximum,fvs_size_median,fvs_size_minimum,peak_rss_kib_count,peak_rss_kib_maximum,peak_rss_kib_median,peak_rss_kib_minimum,total_ms_count,total_ms_maximum,total_ms_median,total_ms_minimum,validator_commits_per_second_count,validator_commits_per_second_maximum,validator_commits_per_second_median,validator_commits_per_second_minimum
dense-l2-n1024-identical-k1,accept_id,5,1,1,1,True,5,5,5,1023,1023,1023,5,3912,3876,3820,5,0.452631,0.452161,0.450797,5,2218.293378172437,2211.6016197770264,2209.3051514368217
dense-l2-n1024-identical-k1,accept_static_degree,5,1,1,1,True,5,5,5,1023,1023,1023,5,3912,3808,3792,5,0.488546,0.485885,0.484257,5,2065.0191943534114,2058.1001677351637,2046.890159780246
dense-l2-n1024-identical-k1,adaptive,5,1,1,1,True,5,5,5,1023,1023,1023,5,4244,4236,4172,5,4.411414,4.389658,4.355544,5,229.5924458575094,227.8081800450058,226.6846865880192
dense-l2-n1024-identical-k1,graph,5,1,1,1,True,5,5,5,1023,1023,1023,5,4276,4224,4216,5,73.545006,73.506771,73.438736,5,13.616792097293176,13.604188925670535,13.597116301819323
dense-l2-n1024-identical-k1,lazy,5,1,1,1,True,5,5,5,1023,1023,1023,5,4208,4180,4172,5,49.221559,48.679616,48.473484,5,20.629835478712444,20.542479217584624,20.316300830699003
dense-l2-n1024-identical-k1,paper,5,1,1,1,True,5,5,5,1023,1023,1023,5,12628,12596,12520,5,41.370948,41.328519,41.263079,5,24.23474021412702,24.19636667841884,24.171551495508396
dense-l2-n1024-identical-k1,profile,5,1,1,1,True,5,5,5,1023,1023,1023,5,4252,4192,4080,5,1.32085,1.307391,1.30496,5,766.3070132417853,764.8821201920466,757.0882386342128
dense-l2-n4096-identical-k1,accept_id,5,1,1,1,True,5,5,5,4095,4095,4095,5,5048,4996,4912,5,1.828392,1.816038,1.798389,5,556.0532231903109,550.6492705549113,546.9286673754863
dense-l2-n4096-identical-k1,accept_static_degree,5,1,1,1,True,5,5,5,4095,4095,4095,5,5052,4996,4896,5,1.978945,1.964344,1.926071,5,519.1916601205252,509.07580342343294,505.3197537071521
dense-l2-n4096-identical-k1,adaptive,5,1,1,1,True,5,5,5,4095,4095,4095,5,5904,5744,5656,5,30.044621,29.742682,29.530957,5,33.86276983844445,33.621715755156174,33.28382807691267
dense-l2-n4096-identical-k1,graph,5,1,1,1,True,5,5,5,4095,4095,4095,5,7424,7352,7284,5,1379.833467,1378.891793,1377.018071,5,0.7262068821462838,0.7252200680840516,0.7247251381532117
dense-l2-n4096-identical-k1,lazy,5,1,1,1,True,5,5,5,4095,4095,4095,5,5580,5512,5500,5,846.257721,831.584386,830.912242,5,1.2034965300222402,1.202523780911875,1.1816731182296651
dense-l2-n4096-identical-k1,paper,5,1,1,1,True,5,5,5,4095,4095,4095,5,137572,137476,137464,5,657.94807,656.995656,656.651591,5,1.5228776016168974,1.5220800790195788,1.5198767890602674
