id,condition,seed,repetition,mode,status,arity,batch_id,commit_count,distribution,fvs_size,k,key_count,n,peak_rss_kib,record_status,runner_peak_rss_kib,stats.build_ms,stats.certificate_ms,stats.count_ms,stats.degree_queries,stats.directed_edges,stats.graph_bytes,stats.graph_probe_hits,stats.heavy_updates,stats.index_payload_bytes,stats.initial_core_size,stats.light_scans,stats.normalize_ms,stats.select_ms,stats.sort_ms,stats.switch_ms,stats.switches,stats.tree_updates,stats.trim_ms,stats.write_posting_count,suite,total_ms,trace,validator_commits_per_second,zipf
dense-l2-n1024-identical-k1-s101-r1-accept_id,dense-l2-n1024-identical-k1,101,1,accept_id,ok,2,598934502,1,identical,1023,1,8192,1024,3812,ok,4568,0,0.001117,0,0,,0,0,0,0,0,0,0.275343,0.011083,0.000919,0,0,0,0,0,dense,0.453154,l2-n1024-identical-s101.tsv,2206.7553193836975,0.99
dense-l2-n1024-identical-k1-s101-r1-accept_static_degree,dense-l2-n1024-identical-k1,101,1,accept_static_degree,ok,2,598934502,1,identical,1023,1,8192,1024,3712,ok,4584,0,0.001081,0.03032,0,,0,0,0,32,0,0,0.27347,0.010696,0.001286,0,0,0,0,0,dense,0.481019,l2-n1024-identical-s101.tsv,2078.9199595026394,0.99
dense-l2-n1024-identical-k1-s101-r1-adaptive,dense-l2-n1024-identical-k1,101,1,adaptive,ok,2,598934502,1,identical,1023,1,8192,1024,4184,ok,4868,0.207838,0.01701,0,33264,,0,0,2973,74168,1024,0,0.278596,3.263388,0,0.339856,1,9904,0.055283,0,dense,4.389658,l2-n1024-identical-s101.tsv,227.8081800450058,0.99
dense-l2-n1024-identical-k1-s101-r1-graph,dense-l2-n1024-identical-k1,101,1,graph,ok,2,598934502,1,identical,1023,1,8192,1024,4296,ok,4820,0.394215,0.016702,0,0,,131072,0,0,0,1024,0,0.274877,72.466714,0,0,0,1049600,0.054707,0,dense,73.440716,l2-n1024-identical-s101.tsv,13.616424981477579,0.99
dense-l2-n1024-identical-k1-s101-r1-lazy,dense-l2-n1024-identical-k1,101,1,lazy,ok,2,598934502,1,identical,1023,1,8192,1024,4192,ok,4708,0.204456,0.01793,0,524799,,0,0,0,74144,1024,0,0.279354,47.718993,0,0,0,0,0.055353,0,dense,48.503789,l2-n1024-identical-s101.tsv,20.616946028690666,0.99
dense-l2-n1024-identical-k1-s101-r1-paper,dense-l2-n1024-identical-k1,101,1,paper,ok,2,598934502,1,identical,1023,1,8192,1024,12584,ok,12584,33.118492,0.000875,0,0,1047552,8451072,2097152,0,0,1024,0,0.164879,7.931462,0,0,0,0,0,2048,dense,41.328519,l2-n1024-identical-s101.tsv,24.19636667841884,0.99
dense-l2-n1024-identical-k1-s101-r1-profile,dense-l2-n1024-identical-k1,101,1,profile,ok,2,598934502,1,identical,1023,1,8192,1024,4200,ok,4992,0.328241,0.01799,0,0,,0,0,3072,74168,1024,0,0.274891,0.404521,0,0,0,10234,0.054885,0,dense,1.306591,l2-n1024-identical-s101.tsv,765.3504424873582,0.99
dense-l2-n1024-identical-k1-s101-r2-accept_id,dense-l2-n1024-identical-k1,101,2,accept_id,ok,2,598934502,1,identical,1023,1,8192,1024,3832,ok,4636,0,0.00108,0,0,,0,0,0,0,0,0,0.274093,0.010973,0.000931,0,0,0,0,0,dense,0.452161,l2-n1024-identical-s101.tsv,2211.6016197770264,0.99
dense-l2-n1024-identical-k1-s101-r2-accept_static_degree,dense-l2-n1024-identical-k1,101,2,accept_static_degree,ok,2,598934502,1,identical,1023,1,8192,1024,3872,ok,4776,0,0.001306,0.030955,0,,0,0,0,32,0,0,0.278727,0.010846,0.001264,0,0,0,0,0,dense,0.489187,l2-n1024-identical-s101.tsv,2044.2080431409665,0.99
dense-l2-n1024-identical-k1-s101-r2-adaptive,dense-l2-n1024-identical-k1,101,2,adaptive,ok,2,598934502,1,identical,1023,1,8192,1024,4312,ok,5040,0.209096,0.016782,0,33264,,0,0,2973,74168,1024,0,0.276727,3.267777,0,0.340035,1,9904,0.055063,0,dense,4.397675,l2-n1024-identical-s101.tsv,227.3928837397034,0.99
