condition,numerator,denominator,commit_delta_count,commit_delta_maximum,commit_delta_median,commit_delta_minimum,complete,complete_seeds,expected_seeds,total_ms_delta_count,total_ms_delta_maximum,total_ms_delta_median,total_ms_delta_minimum,total_ms_ratio_count,total_ms_ratio_maximum,total_ms_ratio_median,total_ms_ratio_minimum,validator_rate_ratio_count,validator_rate_ratio_maximum,validator_rate_ratio_median,validator_rate_ratio_minimum
dense-l2-n1024-identical-k1,adaptive,accept_id,5,0,0,0,True,5,5,5,3.96148,3.936504,3.902028,5,9.804580227322228,9.697369380356184,9.648038364821861,5,0.10364801239246146,0.10312074963604922,0.10199314777529382
dense-l2-n1024-identical-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,3.925219,3.9084879999999997,3.86072,5,9.07334300023653,9.040033261322158,8.93558931489966,5,0.11191203677328242,0.11061906202032537,0.110212961195662
dense-l2-n1024-identical-k1,graph,adaptive,5,0,0,0,True,5,5,5,69.189462,69.088775,69.04088,5,16.885377808145204,16.730395853162136,16.65051024456104,5,0.06005821955676429,0.059771448851342904,0.05922283832569135
dense-l2-n1024-identical-k1,paper,adaptive,5,0,0,0,True,5,5,5,37.027184999999996,36.943076,36.837475,5,9.494285274095716,9.448573358459932,9.323716943495171,5,0.10725336323060139,0.10583608361410816,0.10532651707110675
dense-l2-n4096-identical-k1,adaptive,accept_id,5,0,0,0,True,5,5,5,28.230532,27.917956999999998,27.725088,5,16.635402358946184,16.41662454563501,16.29981613667813,5,0.061350385281327344,0.060913861873383005,0.06011276303528782
dense-l2-n4096-identical-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,28.107614,27.773262,27.600629,5,15.609202879852301,15.260087079333127,15.010022868694943,5,0.06662215032900518,0.06553042553435418,0.06406477048810466
dense-l2-n4096-identical-k1,graph,adaptive,5,0,0,0,True,5,5,5,1349.869504,1349.028542,1346.97345,5,46.68184302323829,46.3762797181505,45.83243273396592,5,0.021818610541676765,0.021562747294035865,0.021421604958960134
dense-l2-n4096-identical-k1,paper,adaptive,5,0,0,0,True,5,5,5,628.417113,626.8972080000001,626.66841,5,22.234216857316635,22.062288094933738,21.851980138289665,5,0.04576244320521651,0.045326214384338245,0.04497572396713083
main-l1-n128-uniform-k1,adaptive,accept_id,5,0,0,0,True,5,5,5,0.019075999999999996,0.018345,0.004281999999999994,5,1.2212558237538922,1.2103567292366613,1.0479351610339307,5,0.954257512471825,0.8262027019345547,0.818829258006077
main-l1-n128-uniform-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,0.013138999999999998,0.009279999999999997,0.0014190000000000036,5,1.1383868385574654,1.1007031860404548,1.0155959773589054,5,0.9846435219254578,0.9085101348686805,0.8784360167648937
