condition,seed,numerator,denominator,commit_delta,commit_delta_defined,complete,successful,total_ms_delta,total_ms_delta_defined,total_ms_ratio,total_ms_ratio_defined,validator_rate_ratio,validator_rate_ratio_defined
dense-l2-n1024-identical-k1,11,adaptive,accept_id,0,3,True,3,3.902028,3,9.648038364821861,3,0.10364801239246146,3
dense-l2-n1024-identical-k1,11,adaptive,accept_static_degree,0,3,True,3,3.86072,3,8.93558931489966,3,0.11191203677328242,3
dense-l2-n1024-identical-k1,11,graph,adaptive,0,3,True,3,69.189462,3,16.885377808145204,3,0.05922283832569135,3
dense-l2-n1024-identical-k1,11,paper,adaptive,0,3,True,3,36.984924,3,9.448573358459932,3,0.10583608361410816,3
dense-l2-n1024-identical-k1,29,adaptive,accept_id,0,3,True,3,3.945556,3,9.697369380356184,3,0.10312074963604922,3
dense-l2-n1024-identical-k1,29,adaptive,accept_static_degree,0,3,True,3,3.9152919999999996,3,9.064612258300343,3,0.11031911476238972,3
dense-l2-n1024-identical-k1,29,graph,adaptive,0,3,True,3,69.105594,3,16.70161663573176,3,0.05987444340331586,3
dense-l2-n1024-identical-k1,29,paper,adaptive,0,3,True,3,36.837475,3,9.323716943495171,3,0.10725336323060139,3
dense-l2-n1024-identical-k1,47,adaptive,accept_id,0,3,True,3,3.96148,3,9.804580227322228,3,0.10199314777529382,3
dense-l2-n1024-identical-k1,47,adaptive,accept_static_degree,0,3,True,3,3.925219,3,9.07334300023653,3,0.110212961195662,3
dense-l2-n1024-identical-k1,47,graph,adaptive,0,3,True,3,69.04088,3,16.65051024456104,3,0.06005821955676429,3
dense-l2-n1024-identical-k1,47,paper,adaptive,0,3,True,3,36.943076,3,9.374429604657372,3,0.10667315689300001,3
dense-l2-n1024-identical-k1,71,adaptive,accept_id,0,3,True,3,3.9299009999999996,3,9.70749395113045,3,0.10301319836347142,3
dense-l2-n1024-identical-k1,71,adaptive,accept_static_degree,0,3,True,3,3.896578,3,9.040033261322158,3,0.11061906202032537,3
dense-l2-n1024-identical-k1,71,graph,adaptive,0,3,True,3,69.088775,3,16.79786064399797,3,0.059531390406986684,3
dense-l2-n1024-identical-k1,71,paper,adaptive,0,3,True,3,37.027184999999996,3,9.494285274095716,3,0.10532651707110675,3
dense-l2-n1024-identical-k1,101,adaptive,accept_id,0,3,True,3,3.936504,3,9.686901141775202,3,0.10323218802011455,3
dense-l2-n1024-identical-k1,101,adaptive,accept_static_degree,0,3,True,3,3.9084879999999997,3,8.98976260611995,3,0.11123764261797428,3
dense-l2-n1024-identical-k1,101,graph,adaptive,0,3,True,3,69.061735,3,16.730395853162136,3,0.059771448851342904,3
dense-l2-n1024-identical-k1,101,paper,adaptive,0,3,True,3,36.938861,3,9.457324609026362,3,0.10573814914268347,3
dense-l2-n4096-identical-k1,11,adaptive,accept_id,0,3,True,3,27.725088,3,16.41662454563501,3,0.060913861873383005,3
dense-l2-n4096-identical-k1,11,adaptive,accept_static_degree,0,3,True,3,27.600629,3,15.260087079333127,3,0.06553042553435418,3
dense-l2-n4096-identical-k1,11,graph,adaptive,0,3,True,3,1349.028542,3,46.68184302323829,3,0.021421604958960134,3
dense-l2-n4096-identical-k1,11,paper,adaptive,0,3,True,3,628.417113,3,22.234216857316635,3,0.04497572396713083,3
dense-l2-n4096-identical-k1,29,adaptive,accept_id,0,3,True,3,27.903759,3,16.412146050548746,3,0.06093048385750653,3
dense-l2-n4096-identical-k1,29,adaptive,accept_static_degree,0,3,True,3,27.773262,3,15.368687910368095,3,0.06506736331898415,3
dense-l2-n4096-identical-k1,29,graph,adaptive,0,3,True,3,1349.171996,3,46.39640684625134,3,0.02155339320378419,3
dense-l2-n4096-identical-k1,29,paper,adaptive,0,3,True,3,626.8972080000001,3,22.11364582653325,3,0.04522094673326735,3
dense-l2-n4096-identical-k1,47,adaptive,accept_id,0,3,True,3,28.198067,3,16.47986875245664,3,0.06068009490979295,3
dense-l2-n4096-identical-k1,47,adaptive,accept_static_degree,0,3,True,3,28.107614,3,15.609202879852301,3,0.06406477048810466,3
dense-l2-n4096-identical-k1,47,graph,adaptive,0,3,True,3,1348.895703,3,45.93373902964866,3,0.02177048986485803,3
dense-l2-n4096-identical-k1,47,paper,adaptive,0,3,True,3,626.69457,3,21.919789387602993,3,0.045620876292067035,3
dense-l2-n4096-identical-k1,71,adaptive,accept_id,0,3,True,3,28.230532,3,16.635402358946184,3,0.06011276303528782,3
dense-l2-n4096-identical-k1,71,adaptive,accept_static_degree,0,3,True,3,28.070973,3,15.235126602556825,3,0.06563778733759755,3
dense-l2-n4096-identical-k1,71,graph,adaptive,0,3,True,3,1346.97345,3,45.83243273396592,3,0.021818610541676765,3
dense-l2-n4096-identical-k1,71,paper,adaptive,0,3,True,3,626.66841,3,21.851980138289665,3,0.04576244320521651,3
dense-l2-n4096-identical-k1,101,adaptive,accept_id,0,3,True,3,27.917956999999998,3,16.29981613667813,3,0.061350385281327344,3
dense-l2-n4096-identical-k1,101,adaptive,accept_static_degree,0,3,True,3,27.760966,3,15.010022868694943,3,0.06662215032900518,3
dense-l2-n4096-identical-k1,101,graph,adaptive,0,3,True,3,1349.869504,3,46.3762797181505,3,0.021562747294035865,3
dense-l2-n4096-identical-k1,101,paper,adaptive,0,3,True,3,627.417688,3,22.062288094933738,3,0.045326214384338245,3
main-l1-n128-uniform-k1,11,adaptive,accept_id,0,3,True,3,0.016993999999999995,3,1.1977173040453282,3,0.8349215600563408,3
