condition,seed,mode,commit_count,complete,expected,fvs_size,peak_rss_kib,successful,total_ms,validator_commits_per_second
dense-l2-n1024-identical-k1,11,accept_id,1,True,3,1023,3888,3,0.452506,2209.9154486349353
dense-l2-n1024-identical-k1,11,accept_static_degree,1,True,3,1023,3808,3,0.488546,2046.890159780246
dense-l2-n1024-identical-k1,11,adaptive,1,True,3,1023,4172,3,4.355544,229.5924458575094
dense-l2-n1024-identical-k1,11,graph,1,True,3,1023,4216,3,73.545006,13.597116301819323
dense-l2-n1024-identical-k1,11,lazy,1,True,3,1023,4208,3,48.679616,20.542479217584624
dense-l2-n1024-identical-k1,11,paper,1,True,3,1023,12620,3,41.320463,24.20108409724257
dense-l2-n1024-identical-k1,11,profile,1,True,3,1023,4192,3,1.30496,766.3070132417853
dense-l2-n1024-identical-k1,29,accept_id,1,True,3,1023,3868,3,0.452631,2209.3051514368217
dense-l2-n1024-identical-k1,29,accept_static_degree,1,True,3,1023,3792,3,0.485885,2058.1001677351637
dense-l2-n1024-identical-k1,29,adaptive,1,True,3,1023,4236,3,4.401177,227.2119480766168
dense-l2-n1024-identical-k1,29,graph,1,True,3,1023,4224,3,73.506771,13.604188925670535
dense-l2-n1024-identical-k1,29,lazy,1,True,3,1023,4172,3,49.123397,20.356898363523193
dense-l2-n1024-identical-k1,29,paper,1,True,3,1023,12596,3,41.263079,24.23474021412702
dense-l2-n1024-identical-k1,29,profile,1,True,3,1023,4252,3,1.306745,765.260245878117
dense-l2-n1024-identical-k1,47,accept_id,1,True,3,1023,3876,3,0.450797,2218.293378172437
dense-l2-n1024-identical-k1,47,accept_static_degree,1,True,3,1023,3912,3,0.486195,2056.7879143142154
dense-l2-n1024-identical-k1,47,adaptive,1,True,3,1023,4244,3,4.411414,226.6846865880192
dense-l2-n1024-identical-k1,47,graph,1,True,3,1023,4220,3,73.438736,13.616792097293176
dense-l2-n1024-identical-k1,47,lazy,1,True,3,1023,4176,3,48.623236,20.566298795909017
dense-l2-n1024-identical-k1,47,paper,1,True,3,1023,12628,3,41.35449,24.181171137644306
dense-l2-n1024-identical-k1,47,profile,1,True,3,1023,4124,3,1.307391,764.8821201920466
dense-l2-n1024-identical-k1,71,accept_id,1,True,3,1023,3912,3,0.451324,2215.703131231665
dense-l2-n1024-identical-k1,71,accept_static_degree,1,True,3,1023,3808,3,0.484257,2065.0191943534114
dense-l2-n1024-identical-k1,71,adaptive,1,True,3,1023,4244,3,4.381225,228.24666617213225
dense-l2-n1024-identical-k1,71,graph,1,True,3,1023,4232,3,73.512838,13.603066174645576
dense-l2-n1024-identical-k1,71,lazy,1,True,3,1023,4180,3,49.221559,20.316300830699003
dense-l2-n1024-identical-k1,71,paper,1,True,3,1023,12520,3,41.370948,24.171551495508396
dense-l2-n1024-identical-k1,71,profile,1,True,3,1023,4080,3,1.32085,757.0882386342128
dense-l2-n1024-identical-k1,101,accept_id,1,True,3,1023,3820,3,0.452161,2211.6016197770264
dense-l2-n1024-identical-k1,101,accept_static_degree,1,True,3,1023,3844,3,0.484417,2064.337131025542
dense-l2-n1024-identical-k1,101,adaptive,1,True,3,1023,4184,3,4.389658,227.8081800450058
dense-l2-n1024-identical-k1,101,graph,1,True,3,1023,4276,3,73.440716,13.616424981477579
dense-l2-n1024-identical-k1,101,lazy,1,True,3,1023,4192,3,48.473484,20.629835478712444
dense-l2-n1024-identical-k1,101,paper,1,True,3,1023,12584,3,41.328519,24.19636667841884
dense-l2-n1024-identical-k1,101,profile,1,True,3,1023,4200,3,1.319396,757.9225645674233
dense-l2-n4096-identical-k1,11,accept_id,1,True,3,4095,5048,3,1.798389,556.0532231903109
dense-l2-n4096-identical-k1,11,accept_static_degree,1,True,3,4095,4896,3,1.964344,509.07580342343294
dense-l2-n4096-identical-k1,11,adaptive,1,True,3,4095,5744,3,29.530957,33.86276983844445
dense-l2-n4096-identical-k1,11,graph,1,True,3,4095,7424,3,1378.839475,0.7252475854740089
dense-l2-n4096-identical-k1,11,lazy,1,True,3,4095,5512,3,830.912242,1.2034965300222402
dense-l2-n4096-identical-k1,11,paper,1,True,3,4095,137508,3,657.94807,1.5198767890602674
dense-l2-n4096-identical-k1,11,profile,1,True,3,4095,5736,3,5.370083,186.21686108017323
dense-l2-n4096-identical-k1,29,accept_id,1,True,3,4095,4912,3,1.816038,550.6492705549113
dense-l2-n4096-identical-k1,29,accept_static_degree,1,True,3,4095,4976,3,1.930952,517.8792636999781
dense-l2-n4096-identical-k1,29,adaptive,1,True,3,4095,5704,3,29.719797,33.64760533189376
dense-l2-n4096-identical-k1,29,graph,1,True,3,4095,7376,3,1378.891793,0.7252200680840516
dense-l2-n4096-identical-k1,29,lazy,1,True,3,4095,5500,3,845.984669,1.1820545178224735
dense-l2-n4096-identical-k1,29,paper,1,True,3,4095,137464,3,656.995656,1.5220800790195788
dense-l2-n4096-identical-k1,29,profile,1,True,3,4095,5528,3,5.352721,186.82087110462138
dense-l2-n4096-identical-k1,47,accept_id,1,True,3,4095,5004,3,1.821596,548.969145738133
dense-l2-n4096-identical-k1,47,accept_static_degree,1,True,3,4095,4996,3,1.926071,519.1916601205252
dense-l2-n4096-identical-k1,47,adaptive,1,True,3,4095,5656,3,30.019663,33.31149986593787
dense-l2-n4096-identical-k1,47,graph,1,True,3,4095,7352,3,1378.915366,0.72520767021462
dense-l2-n4096-identical-k1,47,lazy,1,True,3,4095,5508,3,831.563733,1.2025536472019278
dense-l2-n4096-identical-k1,47,paper,1,True,3,4095,137464,3,656.651591,1.5228776016168974
dense-l2-n4096-identical-k1,47,profile,1,True,3,4095,5676,3,5.316801,188.08302210295253
dense-l2-n4096-identical-k1,71,accept_id,1,True,3,4095,4920,3,1.808169,553.0456500470918
dense-l2-n4096-identical-k1,71,accept_static_degree,1,True,3,4095,5052,3,1.978945,505.3197537071521
dense-l2-n4096-identical-k1,71,adaptive,1,True,3,4095,5784,3,30.044621,33.28382807691267
dense-l2-n4096-identical-k1,71,graph,1,True,3,4095,7296,3,1377.018071,0.7262068821462838
dense-l2-n4096-identical-k1,71,lazy,1,True,3,4095,5580,3,831.584386,1.202523780911875
dense-l2-n4096-identical-k1,71,paper,1,True,3,4095,137476,3,656.722495,1.5227131819201656
dense-l2-n4096-identical-k1,71,profile,1,True,3,4095,5688,3,5.329714,187.62732859586836
dense-l2-n4096-identical-k1,101,accept_id,1,True,3,4095,4996,3,1.828392,546.9286673754863
dense-l2-n4096-identical-k1,101,accept_static_degree,1,True,3,4095,5000,3,1.971691,507.17886321943956
dense-l2-n4096-identical-k1,101,adaptive,1,True,3,4095,5904,3,29.742682,33.621715755156174
dense-l2-n4096-identical-k1,101,graph,1,True,3,4095,7284,3,1379.833467,0.7247251381532117
dense-l2-n4096-identical-k1,101,lazy,1,True,3,4095,5520,3,846.257721,1.1816731182296651
dense-l2-n4096-identical-k1,101,paper,1,True,3,4095,137572,3,657.012815,1.5220403273260354
dense-l2-n4096-identical-k1,101,profile,1,True,3,4095,5664,3,5.331361,187.56936549597748
main-l1-n128-uniform-k1,11,accept_id,127,True,3,1,2004,3,0.087442,1452391.299375586
main-l1-n128-uniform-k1,11,accept_static_degree,127,True,3,1,2056,3,0.09295,1366325.981710597
main-l1-n128-uniform-k1,11,adaptive,127,True,3,1,1996,3,0.102945,1233668.4637427754
main-l1-n128-uniform-k1,11,graph,127,True,3,1,2004,3,0.094532,1343460.4155206701
main-l1-n128-uniform-k1,11,lazy,127,True,3,1,2020,3,0.092545,1372305.3649575883
main-l1-n128-uniform-k1,11,paper,127,True,3,1,1996,3,0.073679,1723693.3183132238
main-l1-n128-uniform-k1,11,profile,127,True,3,1,2016,3,0.103262,1229881.272878697
main-l1-n128-uniform-k1,29,accept_id,126,True,3,2,1996,3,0.08719,1445119.8531941737
main-l1-n128-uniform-k1,29,accept_static_degree,126,True,3,2,2016,3,0.094944,1327098.078867543
main-l1-n128-uniform-k1,29,adaptive,126,True,3,2,2016,3,0.106266,1185703.7998983683
main-l1-n128-uniform-k1,29,graph,126,True,3,2,2032,3,0.097838,1287843.169320714
main-l1-n128-uniform-k1,29,lazy,126,True,3,2,1976,3,0.093767,1343756.332185097
main-l1-n128-uniform-k1,29,paper,126,True,3,2,1976,3,0.074464,1692092.8233777396
main-l1-n128-uniform-k1,29,profile,126,True,3,2,1996,3,0.108096,1165630.5506216697
main-l1-n128-uniform-k1,47,accept_id,128,True,3,0,2012,3,0.088796,1441506.3741609983
main-l1-n128-uniform-k1,47,accept_static_degree,128,True,3,0,2016,3,0.090985,1406825.3008737704
main-l1-n128-uniform-k1,47,adaptive,128,True,3,0,1984,3,0.092404,1385221.418986191
main-l1-n128-uniform-k1,47,graph,128,True,3,0,2016,3,0.091503,1398861.2395222015
main-l1-n128-uniform-k1,47,lazy,128,True,3,0,2004,3,0.092346,1386091.438719598
main-l1-n128-uniform-k1,47,paper,128,True,3,0,2012,3,0.073992,1729916.7477565142
main-l1-n128-uniform-k1,47,profile,128,True,3,0,1992,3,0.092277,1387127.8866889908
main-l1-n128-uniform-k1,71,accept_id,127,True,3,1,1996,3,0.086949,1460626.3441787716
main-l1-n128-uniform-k1,71,accept_static_degree,127,True,3,1,1996,3,0.095716,1326841.9073091228
main-l1-n128-uniform-k1,71,adaptive,127,True,3,1,1988,3,0.104071,1220320.7425699763
main-l1-n128-uniform-k1,71,graph,127,True,3,1,1976,3,0.094484,1344142.923669616
main-l1-n128-uniform-k1,71,lazy,127,True,3,1,1992,3,0.094574,1342863.7892021062
main-l1-n128-uniform-k1,71,paper,127,True,3,1,2008,3,0.073773,1721497.0246567172
main-l1-n128-uniform-k1,71,profile,127,True,3,1,2056,3,0.105183,1207419.4499111073
main-l1-n128-uniform-k1,101,accept_id,127,True,3,1,2012,3,0.085811,1479996.737015068
main-l1-n128-uniform-k1,101,accept_static_degree,127,True,3,1,2040,3,0.093195,1362734.0522560223
main-l1-n128-uniform-k1,101,adaptive,127,True,3,1,2032,3,0.104327,1217326.2913723197
main-l1-n128-uniform-k1,101,graph,127,True,3,1,2020,3,0.096523,1315748.5780591154
main-l1-n128-uniform-k1,101,lazy,127,True,3,1,1988,3,0.094427,1344954.3033242612
main-l1-n128-uniform-k1,101,paper,127,True,3,1,1984,3,0.07264,1748348.0176211454
