condition,mode,commit_count_count,commit_count_maximum,commit_count_median,commit_count_minimum,complete,complete_seeds,expected_seeds,fvs_size_count,fvs_size_maximum,fvs_size_median,fvs_size_minimum,peak_rss_kib_count,peak_rss_kib_maximum,peak_rss_kib_median,peak_rss_kib_minimum,total_ms_count,total_ms_maximum,total_ms_median,total_ms_minimum,validator_commits_per_second_count,validator_commits_per_second_maximum,validator_commits_per_second_median,validator_commits_per_second_minimum
main-l1-n40-uniform-k1,accept_id,5,40,40,40,True,5,5,5,0,0,0,5,2036,2000,1980,5,0.050102,0.038685,0.036568,5,1093852.5486764384,1033992.5035543493,798371.3225020957
main-l1-n40-uniform-k1,accept_static_degree,5,40,40,40,True,5,5,5,0,0,0,5,2036,2020,1984,5,0.050946,0.038932,0.036942,5,1082778.4093985164,1027432.4463166547,785145.0555490127
main-l1-n40-uniform-k1,adaptive,5,40,40,40,True,5,5,5,0,0,0,5,2004,1996,1980,5,0.039536,0.038461,0.03742,5,1068947.0871191875,1040014.5602038428,1011736.1392148928
main-l1-n40-uniform-k1,graph,5,40,40,40,True,5,5,5,0,0,0,5,2076,2016,2000,5,0.041312,0.037837,0.036543,5,1094600.8811537093,1057166.2658244574,968241.6731216111
main-l1-n40-uniform-k1,lazy,5,40,40,40,True,5,5,5,0,0,0,5,2036,1992,1976,5,0.053177,0.037131,0.035602,5,1123532.3858210212,1077266.9736877542,752204.9006149275
main-l1-n40-uniform-k1,paper,5,40,40,40,True,5,5,5,0,0,0,5,2056,2004,2000,5,0.038686,0.028088,0.026829,5,1490924.0001490924,1424095.6992309885,1033965.7757328233
main-l1-n40-uniform-k1,profile,5,40,40,40,True,5,5,5,0,0,0,5,2036,2016,1996,5,0.049111,0.0397,0.036591,5,1093164.9859255007,1007556.6750629724,814481.480727332
main-l1-n40-zipf-k1,accept_id,5,37,32,29,True,5,5,5,11,8,3,5,2004,1996,1980,5,0.051453,0.04095,0.036202,5,883929.0646925585,757020.7570207571,641362.0197073057
main-l1-n40-zipf-k1,accept_static_degree,5,37,32,29,True,5,5,5,11,8,3,5,2056,2032,2012,5,0.054863,0.045579,0.039296,5,814332.2475570033,711918.497606481,565043.8364653774
main-l1-n40-zipf-k1,adaptive,5,37,32,29,True,5,5,5,11,8,3,5,2052,2008,1996,5,0.089612,0.068737,0.059635,5,620441.0161817725,450994.36984447966,368254.2516627238
main-l1-n40-zipf-k1,graph,5,37,32,29,True,5,5,5,11,8,3,5,2036,2008,1984,5,0.063543,0.058899,0.051665,5,716152.1339398045,526324.7253773409,483720.30958099815
main-l1-n40-zipf-k1,lazy,5,37,32,29,True,5,5,5,11,8,3,5,2020,1996,1984,5,0.065126,0.052435,0.050668,5,730243.9409489224,585201.7117150067,506710.0697110217
main-l1-n40-zipf-k1,paper,5,37,32,29,True,5,5,5,11,8,3,5,2036,2004,1984,5,0.055653,0.044713,0.038703,5,827499.8322635475,653939.4578630945,592959.9482507681
main-l1-n40-zipf-k1,profile,5,37,32,29,True,5,5,5,11,8,3,5,2016,1996,1992,5,0.078448,0.070373,0.058287,5,634789.9188498294,440509.85463174793,399691.2729477921
main-l2-n40-uniform-k1,accept_id,5,40,39,39,True,5,5,5,1,1,0,5,2052,2000,1988,5,0.047424,0.046227,0.044043,5,885498.2630610995,855871.2769599452,822368.4210526316
main-l2-n40-uniform-k1,accept_static_degree,5,40,39,39,True,5,5,5,1,1,0,5,2016,1992,1980,5,0.053844,0.052877,0.051181,5,781540.0246185109,737560.7542031507,724314.6868731892
main-l2-n40-uniform-k1,adaptive,5,40,39,39,True,5,5,5,1,1,0,5,2036,2004,1988,5,0.055222,0.053973,0.047147,5,848410.2912168325,722583.5139792118,706240.2665604288
main-l2-n40-uniform-k1,graph,5,40,39,39,True,5,5,5,1,1,0,5,2036,2004,1980,5,0.061533,0.056518,0.046975,5,851516.7642362958,690045.6491737146,633806.2503047145
main-l2-n40-uniform-k1,lazy,5,40,39,39,True,5,5,5,1,1,0,5,2076,1996,1992,5,0.055638,0.052208,0.045742,5,874469.8526518298,747011.9521912351,700959.7756928718
main-l2-n40-uniform-k1,paper,5,40,39,39,True,5,5,5,1,1,0,5,2016,2000,1992,5,0.041064,0.039339,0.03746,5,1067805.6593699947,991382.5974224053,974089.226573154
main-l2-n40-uniform-k1,profile,5,40,39,39,True,5,5,5,1,1,0,5,2020,1992,1980,5,0.067738,0.066655,0.04614,5,866926.7446900737,585102.3929187608,575747.7339159703
main-l2-n40-zipf-k1,accept_id,5,26,24,21,True,5,5,5,19,16,14,5,2012,1996,1980,5,0.046673,0.044345,0.043175,5,586311.8728154245,528157.390902489,486392.5883034163
