id,condition,seed,repetition,mode,status,arity,batch_id,commit_count,distribution,fvs_size,k,key_count,n,peak_rss_kib,record_status,runner_peak_rss_kib,stats.build_ms,stats.certificate_ms,stats.count_ms,stats.degree_queries,stats.directed_edges,stats.graph_bytes,stats.graph_probe_hits,stats.heavy_updates,stats.index_payload_bytes,stats.initial_core_size,stats.light_scans,stats.normalize_ms,stats.select_ms,stats.sort_ms,stats.switch_ms,stats.switches,stats.tree_updates,stats.trim_ms,stats.write_posting_count,suite,total_ms,trace,validator_commits_per_second,zipf
main-l1-n40-uniform-k1-s101-r1-accept_id,main-l1-n40-uniform-k1,101,1,accept_id,ok,1,2675289866,40,uniform,0,1,8192,40,2004,ok,4216,0,0.001562,0,0,,0,0,0,0,0,0,0.01781,0.001502,0.000167,0,0,0,0,0,main,0.032348,l1-n40-uniform-s101.tsv,1236552.4916532706,0.99
main-l1-n40-uniform-k1-s101-r1-accept_static_degree,main-l1-n40-uniform-k1,101,1,accept_static_degree,ok,1,2675289866,40,uniform,0,1,8192,40,2072,ok,4368,0,0.001618,0.000788,0,,0,0,0,320,0,0,0.024177,0.001504,0.000146,0,0,0,0,0,main,0.040528,l1-n40-uniform-s101.tsv,986971.9699960521,0.99
main-l1-n40-uniform-k1-s101-r1-adaptive,main-l1-n40-uniform-k1,101,1,adaptive,ok,1,2675289866,40,uniform,0,1,8192,40,2012,ok,4400,0,0.002505,0,0,,0,0,0,0,0,0,0.021862,0,0,0,0,0,0.002126,0,main,0.04152,l1-n40-uniform-s101.tsv,963391.1368015414,0.99
main-l1-n40-uniform-k1-s101-r1-graph,main-l1-n40-uniform-k1,101,1,graph,ok,1,2675289866,40,uniform,0,1,8192,40,2036,ok,4308,0,0.001868,0,0,,0,0,0,0,0,0,0.018653,0,0,0,0,0,0.002292,0,main,0.03685,l1-n40-uniform-s101.tsv,1085481.6824966078,0.99
main-l1-n40-uniform-k1-s101-r1-lazy,main-l1-n40-uniform-k1,101,1,lazy,ok,1,2675289866,40,uniform,0,1,8192,40,2076,ok,4368,0,0.001785,0,0,,0,0,0,0,0,0,0.019339,0,0,0,0,0,0.002162,0,main,0.035148,l1-n40-uniform-s101.tsv,1138044.8389666553,0.99
main-l1-n40-uniform-k1-s101-r1-paper,main-l1-n40-uniform-k1,101,1,paper,ok,1,2675289866,40,uniform,0,1,8192,40,2012,ok,4432,0.011272,0.002028,0,0,0,2440,40,0,0,0,0,0.009118,0.004388,0,0,0,0,0,40,main,0.032432,l1-n40-uniform-s101.tsv,1233349.77799704,0.99
main-l1-n40-uniform-k1-s101-r1-profile,main-l1-n40-uniform-k1,101,1,profile,ok,1,2675289866,40,uniform,0,1,8192,40,2036,ok,4308,0,0.003372,0,0,,0,0,0,0,0,0,0.023565,0,0,0,0,0,0.002518,0,main,0.043461,l1-n40-uniform-s101.tsv,920365.385057868,0.99
main-l1-n40-uniform-k1-s101-r2-accept_id,main-l1-n40-uniform-k1,101,2,accept_id,ok,1,2675289866,40,uniform,0,1,8192,40,2056,ok,4340,0,0.001589,0,0,,0,0,0,0,0,0,0.021205,0.001442,0.000142,0,0,0,0,0,main,0.038687,l1-n40-uniform-s101.tsv,1033939.0492930441,0.99
main-l1-n40-uniform-k1-s101-r2-accept_static_degree,main-l1-n40-uniform-k1,101,2,accept_static_degree,ok,1,2675289866,40,uniform,0,1,8192,40,2032,ok,4308,0,0.001609,0.000782,0,,0,0,0,320,0,0,0.025577,0.001543,0.000156,0,0,0,0,0,main,0.041863,l1-n40-uniform-s101.tsv,955497.6948618112,0.99
main-l1-n40-uniform-k1-s101-r2-adaptive,main-l1-n40-uniform-k1,101,2,adaptive,ok,1,2675289866,40,uniform,0,1,8192,40,1980,ok,4220,0,0.001693,0,0,,0,0,0,0,0,0,0.02055,0,0,0,0,0,0.002107,0,main,0.039095,l1-n40-uniform-s101.tsv,1023148.7402481136,0.99
