condition,numerator,denominator,commit_delta_count,commit_delta_maximum,commit_delta_median,commit_delta_minimum,complete,complete_seeds,expected_seeds,total_ms_delta_count,total_ms_delta_maximum,total_ms_delta_median,total_ms_delta_minimum,total_ms_ratio_count,total_ms_ratio_maximum,total_ms_ratio_median,total_ms_ratio_minimum,validator_rate_ratio_count,validator_rate_ratio_maximum,validator_rate_ratio_median,validator_rate_ratio_minimum
main-l1-n40-uniform-k1,adaptive,accept_id,5,0,0,0,True,5,5,5,0.0022990000000000024,0.0008510000000000045,-0.008060999999999999,5,1.0635750235053372,1.0219981905131188,0.8276459268762028,5,1.2082461443075254,0.9784753136382031,0.940225163152284
main-l1-n40-uniform-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,0.0015189999999999995,-5.3999999999998494e-05,-0.012236999999999998,5,1.0411185100969087,0.9985590009072958,0.7598044988811683,5,1.3161280322405642,1.0014430785676107,0.9605054470762592
main-l1-n40-uniform-k1,graph,adaptive,5,0,0,0,True,5,5,5,0.0017759999999999998,-0.0005280000000000007,-0.0014240000000000017,5,1.0449210845811412,0.9862718078053092,0.9650100348579276,5,1.0362586541882164,1.0139192787282842,0.9570100697134004
main-l1-n40-uniform-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.0011839999999999976,-0.010269,-0.010533999999999998,5,0.9694127980572994,0.7327277801740543,0.7288211682687229,5,1.372078698503569,1.364763322829738,1.0315522984676881
main-l1-n40-zipf-k1,adaptive,accept_id,5,0,0,0,True,5,5,5,0.038159,0.030794999999999996,0.011126999999999998,5,1.9413158324709985,1.7416282821215479,1.2274390368538315,5,0.8147044129891757,0.5741753336606705,0.5151145337990433
main-l1-n40-zipf-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,0.034393,0.026102,0.004330999999999995,5,1.9142611637711124,1.6228472083884171,1.0795657046277074,5,0.9262984139949629,0.6162009552292104,0.5223947593597891
main-l1-n40-zipf-k1,graph,adaptive,5,0,0,0,True,5,5,5,-0.007969999999999998,-0.011204999999999993,-0.014455000000000003,5,0.8663536513792236,0.8264938482008042,0.8057306436222398,5,1.2411095543101147,1.2099303608573757,1.1542630407432497
main-l1-n40-zipf-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.015336999999999996,-0.025877999999999998,-0.033958999999999996,5,0.7445961698584513,0.6151520387007602,0.5998225973362721,5,1.6671595975891198,1.6256143800028084,1.343009862903406
main-l2-n40-uniform-k1,adaptive,accept_id,5,0,0,0,True,5,5,5,0.009930000000000001,0.007604,0.0016040000000000013,5,1.2254614808255568,1.1596875131252888,1.0343204382060938,5,0.9668183698800165,0.8623012567455,0.8160191206714468
main-l2-n40-uniform-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,0.002244000000000003,-0.0014139999999999986,-0.004011999999999995,5,1.0423572048774963,0.9736807817589577,0.9216115355307635,5,1.0850558629608429,1.027030643650475,0.9593640215855999
