condition,seed,numerator,denominator,commit_delta,commit_delta_defined,complete,successful,total_ms_delta,total_ms_delta_defined,total_ms_ratio,total_ms_ratio_defined,validator_rate_ratio,validator_rate_ratio_defined
main-l1-n40-uniform-k1,11,adaptive,accept_id,0,3,True,3,0.0008519999999999986,3,1.023299059286808,3,0.9772314270443612,3
main-l1-n40-uniform-k1,11,adaptive,accept_static_degree,0,3,True,3,-5.3999999999998494e-05,3,0.9985590009072958,3,1.0014430785676107,3
main-l1-n40-uniform-k1,11,graph,adaptive,0,3,True,3,-0.0013249999999999998,3,0.9650100348579276,3,1.0362586541882164,3
main-l1-n40-uniform-k1,11,paper,adaptive,0,3,True,3,-0.010269,3,0.7288211682687229,3,1.372078698503569,3
main-l1-n40-uniform-k1,29,adaptive,accept_id,0,3,True,3,0.0022990000000000024,3,1.0635750235053372,3,0.940225163152284,3
main-l1-n40-uniform-k1,29,adaptive,accept_static_degree,0,3,True,3,0.0015189999999999995,3,1.0411185100969087,3,0.9605054470762592,3
main-l1-n40-uniform-k1,29,graph,adaptive,0,3,True,3,-0.0005280000000000007,3,0.9862718078053092,3,1.0139192787282842,3
main-l1-n40-uniform-k1,29,paper,adaptive,0,3,True,3,-0.010373000000000004,3,0.7302982241751383,3,1.3693036172030764,3
main-l1-n40-uniform-k1,47,adaptive,accept_id,0,3,True,3,-0.008060999999999999,3,0.8276459268762028,3,1.2082461443075254,3
main-l1-n40-uniform-k1,47,adaptive,accept_static_degree,0,3,True,3,-0.012236999999999998,3,0.7598044988811683,3,1.3161280322405642,3
main-l1-n40-uniform-k1,47,graph,adaptive,0,3,True,3,-0.0014240000000000017,3,0.9730848469956717,3,1.0276596157955051,3
main-l1-n40-uniform-k1,47,paper,adaptive,0,3,True,3,-0.0011839999999999976,3,0.9694127980572994,3,1.0315522984676881,3
main-l1-n40-uniform-k1,71,adaptive,accept_id,0,3,True,3,0.0005679999999999991,3,1.015396291878998,3,0.9848371596369461,3
main-l1-n40-uniform-k1,71,adaptive,accept_static_degree,0,3,True,3,-0.0023220000000000046,3,0.9403575464913181,3,1.0634252936356188,3
main-l1-n40-uniform-k1,71,graph,adaptive,0,3,True,3,0.0006330000000000016,3,1.0172903578257306,3,0.9830035174395189,3
main-l1-n40-uniform-k1,71,paper,adaptive,0,3,True,3,-0.010533999999999998,3,0.7327277801740543,3,1.364763322829738,3
main-l1-n40-uniform-k1,101,adaptive,accept_id,0,3,True,3,0.0008510000000000045,3,1.0219981905131188,3,0.9784753136382031,3
main-l1-n40-uniform-k1,101,adaptive,accept_static_degree,0,3,True,3,0.0009919999999999998,3,1.0244769048559021,3,0.9761078998073218,3
main-l1-n40-uniform-k1,101,graph,adaptive,0,3,True,3,0.0017759999999999998,3,1.0449210845811412,3,0.9570100697134004,3
main-l1-n40-uniform-k1,101,paper,adaptive,0,3,True,3,-0.009087999999999999,3,0.7811175337186899,3,1.2802170695609274,3
main-l1-n40-zipf-k1,11,adaptive,accept_id,0,3,True,3,0.027787000000000006,3,1.6785592185592186,3,0.5957490143590788,3
main-l1-n40-zipf-k1,11,adaptive,accept_static_degree,0,3,True,3,0.016850999999999998,3,1.3071468931702603,3,0.7650249602588058,3
main-l1-n40-zipf-k1,11,graph,adaptive,0,3,True,3,-0.009283999999999994,3,0.8638370268248684,3,1.1576257661420397,3
main-l1-n40-zipf-k1,11,paper,adaptive,0,3,True,3,-0.021332000000000004,3,0.6896576807250825,3,1.4499947262946946,3
main-l1-n40-zipf-k1,29,adaptive,accept_id,0,3,True,3,0.038159,3,1.7416282821215479,3,0.5741753336606705,3
main-l1-n40-zipf-k1,29,adaptive,accept_static_degree,0,3,True,3,0.034393,3,1.6228472083884171,3,0.6162009552292104,3
main-l1-n40-zipf-k1,29,graph,adaptive,0,3,True,3,-0.011606000000000005,3,0.8264938482008042,3,1.2099303608573757,3
main-l1-n40-zipf-k1,29,paper,adaptive,0,3,True,3,-0.033958999999999996,3,0.6151520387007602,3,1.6256143800028084,3
main-l1-n40-zipf-k1,47,adaptive,accept_id,0,3,True,3,0.011126999999999998,3,1.2274390368538315,3,0.8147044129891757,3
main-l1-n40-zipf-k1,47,adaptive,accept_static_degree,0,3,True,3,0.004330999999999995,3,1.0795657046277074,3,0.9262984139949629,3
main-l1-n40-zipf-k1,47,graph,adaptive,0,3,True,3,-0.007969999999999998,3,0.8663536513792236,3,1.1542630407432497,3
main-l1-n40-zipf-k1,47,paper,adaptive,0,3,True,3,-0.015336999999999996,3,0.7445961698584513,3,1.343009862903406,3
main-l1-n40-zipf-k1,71,adaptive,accept_id,0,3,True,3,0.030794999999999996,3,1.9161088799643016,3,0.5218910107126223,3
main-l1-n40-zipf-k1,71,adaptive,accept_static_degree,0,3,True,3,0.026102,3,1.6721617902853136,3,0.5980282564819128,3
main-l1-n40-zipf-k1,71,graph,adaptive,0,3,True,3,-0.011204999999999993,3,0.8260363297624593,3,1.2106005074711021,3
main-l1-n40-zipf-k1,71,paper,adaptive,0,3,True,3,-0.025877999999999998,3,0.6008849557522125,3,1.6642120765832105,3
main-l1-n40-zipf-k1,101,adaptive,accept_id,0,3,True,3,0.037253,3,1.9413158324709985,3,0.5151145337990433,3
main-l1-n40-zipf-k1,101,adaptive,accept_static_degree,0,3,True,3,0.034048,3,1.9142611637711124,3,0.5223947593597891,3
main-l1-n40-zipf-k1,101,graph,adaptive,0,3,True,3,-0.014455000000000003,3,0.8057306436222398,3,1.2411095543101147,3
main-l1-n40-zipf-k1,101,paper,adaptive,0,3,True,3,-0.029776000000000004,3,0.5998225973362721,3,1.6671595975891198,3
main-l2-n40-uniform-k1,11,adaptive,accept_id,0,3,True,3,0.003129999999999994,3,1.0719325259117962,3,0.9328945393735395,3
main-l2-n40-uniform-k1,11,adaptive,accept_static_degree,0,3,True,3,-0.0033140000000000044,3,0.9336629501371179,3,1.0710503183757478,3
main-l2-n40-uniform-k1,11,graph,adaptive,0,3,True,3,-0.0002500000000000002,3,0.9952004300414683,3,1.0048227169258073,3
main-l2-n40-uniform-k1,11,paper,adaptive,0,3,True,3,-0.010423000000000002,3,0.7883581631085855,3,1.268458990843561,3
main-l2-n40-uniform-k1,29,adaptive,accept_id,0,3,True,3,0.007604,3,1.1596875131252888,3,0.8623012567455,3
main-l2-n40-uniform-k1,29,adaptive,accept_static_degree,0,3,True,3,0.002244000000000003,3,1.0423572048774963,3,0.9593640215855999,3
main-l2-n40-uniform-k1,29,graph,adaptive,0,3,True,3,0.006310999999999997,3,1.1142841621093043,3,0.8974371475468448,3
main-l2-n40-uniform-k1,29,paper,adaptive,0,3,True,3,-0.015883,3,0.7123791242620694,3,1.4037469178169248,3
main-l2-n40-uniform-k1,47,adaptive,accept_id,0,3,True,3,0.009930000000000001,3,1.2254614808255568,3,0.8160191206714468,3
main-l2-n40-uniform-k1,47,adaptive,accept_static_degree,0,3,True,3,0.001110999999999994,3,1.0206336824901567,3,0.979783459193886,3
main-l2-n40-uniform-k1,47,graph,adaptive,0,3,True,3,0.0021839999999999984,3,1.040671905843793,3,0.9609176479009341,3
main-l2-n40-uniform-k1,47,paper,adaptive,0,3,True,3,-0.014842000000000001,3,0.7250106534748856,3,1.3792900769211112,3
main-l2-n40-uniform-k1,71,adaptive,accept_id,0,3,True,3,0.0016040000000000013,3,1.0343204382060938,3,0.9668183698800165,3
main-l2-n40-uniform-k1,71,adaptive,accept_static_degree,0,3,True,3,-0.004011999999999995,3,0.9216115355307635,3,1.0850558629608429,3
