condition,seed,mode,commit_count,complete,expected,fvs_size,peak_rss_kib,successful,total_ms,validator_commits_per_second
main-l1-n40-uniform-k1,11,accept_id,40,True,3,0,2000,3,0.036568,1093852.5486764384
main-l1-n40-uniform-k1,11,accept_static_degree,40,True,3,0,2036,3,0.037474,1067406.7353365
main-l1-n40-uniform-k1,11,adaptive,40,True,3,0,2004,3,0.03742,1068947.0871191875
main-l1-n40-uniform-k1,11,graph,40,True,3,0,2000,3,0.036543,1094600.8811537093
main-l1-n40-uniform-k1,11,lazy,40,True,3,0,1992,3,0.037131,1077266.9736877542
main-l1-n40-uniform-k1,11,paper,40,True,3,0,2004,3,0.026829,1490924.0001490924
main-l1-n40-uniform-k1,11,profile,40,True,3,0,2016,3,0.036591,1093164.9859255007
main-l1-n40-uniform-k1,29,accept_id,40,True,3,0,1980,3,0.039946,1001351.824963701
main-l1-n40-uniform-k1,29,accept_static_degree,40,True,3,0,2004,3,0.036942,1082778.4093985164
main-l1-n40-uniform-k1,29,adaptive,40,True,3,0,1996,3,0.038461,1040014.5602038428
main-l1-n40-uniform-k1,29,graph,40,True,3,0,2000,3,0.037933,1054490.812748794
main-l1-n40-uniform-k1,29,lazy,40,True,3,0,1984,3,0.035697,1120542.342493767
main-l1-n40-uniform-k1,29,paper,40,True,3,0,2000,3,0.028088,1424095.6992309885
main-l1-n40-uniform-k1,29,profile,40,True,3,0,1996,3,0.049111,814481.480727332
main-l1-n40-uniform-k1,47,accept_id,40,True,3,0,1984,3,0.050102,798371.3225020957
main-l1-n40-uniform-k1,47,accept_static_degree,40,True,3,0,1984,3,0.050946,785145.0555490127
main-l1-n40-uniform-k1,47,adaptive,40,True,3,0,1996,3,0.038709,1033351.4169831305
main-l1-n40-uniform-k1,47,graph,40,True,3,0,2016,3,0.037837,1057166.2658244574
main-l1-n40-uniform-k1,47,lazy,40,True,3,0,2000,3,0.053177,752204.9006149275
main-l1-n40-uniform-k1,47,paper,40,True,3,0,2004,3,0.038686,1033965.7757328233
